time,chol_variants.chol_res_norms_0,chol_variants.chol_res_norms_1,chol_variants.chol_res_norms_2
2026-08-21T00:30:42.537914,0.0,0.0,0.0
2026-08-21T00:30:42.546247,0.0,0.0,0.0
2026-08-21T00:30:42.554580,0.0,0.0,0.0
2026-08-21T00:30:42.562913,0.0,0.0,0.0
2026-08-21T00:30:42.571246,0.0,0.0,0.0
2026-08-21T00:30:42.579579,0.0,0.0,0.0
2026-08-21T00:30:42.587912,0.0,0.0,0.0
2026-08-21T00:30:42.596245,0.0,0.0,0.0
2026-08-21T00:30:42.604578,0.0,0.0,0.0
2026-08-21T00:30:42.612911,0.0,0.0,0.0
2026-08-21T00:30:42.621244,0.0,0.0,0.0
2026-08-21T00:30:42.629577,0.0,0.0,0.0
2026-08-21T00:30:42.637910,0.0,0.0,0.0
2026-08-21T00:30:42.646243,0.0,0.0,0.0
2026-08-21T00:30:42.654576,0.0,0.0,0.0
2026-08-21T00:30:42.662909,0.0,0.0,0.0
2026-08-21T00:30:42.671242,0.0,0.0,0.0
2026-08-21T00:30:42.679575,0.0,0.0,0.0
2026-08-21T00:30:42.687908,0.0,0.0,0.0
2026-08-21T00:30:42.696241,0.0,0.0,0.0
2026-08-21T00:30:42.704574,0.0,0.0,0.0
2026-08-21T00:30:42.712907,0.0,0.0,0.0
2026-08-21T00:30:42.721240,0.0,0.0,0.0
2026-08-21T00:30:42.729573,0.0,0.0,0.0
2026-08-21T00:30:42.737906,0.0,0.0,0.0
2026-08-21T00:30:42.746239,0.0,0.0,0.0
2026-08-21T00:30:42.754572,0.0,0.0,0.0
2026-08-21T00:30:42.762905,0.0,0.0,0.0
2026-08-21T00:30:42.771238,0.0,0.0,0.0
2026-08-21T00:30:42.779571,0.0,0.0,0.0
2026-08-21T00:30:42.787904,0.0,0.0,0.0
2026-08-21T00:30:42.796237,0.0,0.0,0.0
2026-08-21T00:30:42.804570,0.0,0.0,0.0
2026-08-21T00:30:42.812903,0.0,0.0,0.0
2026-08-21T00:30:42.821236,0.0,0.0,0.0
2026-08-21T00:30:42.829569,0.0,0.0,0.0
2026-08-21T00:30:42.837902,0.0,0.0,0.0
2026-08-21T00:30:42.846235,0.0,0.0,0.0
2026-08-21T00:30:42.854568,0.0,0.0,0.0
2026-08-21T00:30:42.862901,0.0,0.0,0.0
2026-08-21T00:30:42.871234,0.0,0.0,0.0
2026-08-21T00:30:42.879567,0.0,0.0,0.0
2026-08-21T00:30:42.887900,0.0,0.0,0.0
2026-08-21T00:30:42.896233,0.0,0.0,0.0
2026-08-21T00:30:42.904566,0.0,0.0,0.0
2026-08-21T00:30:42.912899,0.0,0.0,0.0
2026-08-21T00:30:42.921232,0.0,0.0,0.0
2026-08-21T00:30:42.929565,0.0,0.0,0.0
2026-08-21T00:30:42.937898,0.0,0.0,0.0
