time,tracker6.ekf6_cov.0,tracker6.ekf6_cov.1,tracker6.ekf6_cov.2,tracker6.ekf6_cov.3,tracker6.ekf6_cov.4,tracker6.ekf6_cov.5,tracker6.ekf6_cov.6,tracker6.ekf6_cov.7,tracker6.ekf6_cov.8,tracker6.ekf6_cov.9,tracker6.ekf6_cov.10,tracker6.ekf6_cov.11,tracker6.ekf6_cov.12,tracker6.ekf6_cov.13,tracker6.ekf6_cov.14,tracker6.ekf6_cov.15,tracker6.ekf6_cov.16,tracker6.ekf6_cov.17,tracker6.ekf6_cov.18,tracker6.ekf6_cov.19,tracker6.ekf6_cov.20,tracker6.ekf6_cov.21,tracker6.ekf6_cov.22,tracker6.ekf6_cov.23,tracker6.ekf6_cov.24,tracker6.ekf6_cov.25,tracker6.ekf6_cov.26,tracker6.ekf6_cov.27,tracker6.ekf6_cov.28,tracker6.ekf6_cov.29,tracker6.ekf6_cov.30,tracker6.ekf6_cov.31,tracker6.ekf6_cov.32,tracker6.ekf6_cov.33,tracker6.ekf6_cov.34,tracker6.ekf6_cov.35
2026-04-09T18:56:42.363277,0.027138495731970143,2.407412430484045e-35,3.718555610229228e-36,0.0002573578198867579,3.520605580712751e-35,3.045360488720035e-36,2.407412430484045e-35,0.02713849573197015,1.925929944387236e-34,7.703719777548943e-34,0.0002573578198867579,2.407412430484045e-34,3.718555610229229e-36,1.925929944387236e-34,0.027138495731970146,1.6211273168166078e-34,2.311115933264683e-33,0.000257357819886758,0.0002573578198867579,7.703719777548943e-34,1.6211273168166078e-34,0.027131591686149995,9.57322599309671e-34,1.707675935283973e-34,3.530303409107035e-35,0.0002573578198867579,3.0814879110195774e-33,9.65974237731723e-34,0.027131591686149995,1.4444474582904269e-34,3.0453604887200344e-36,4.81482486096809e-35,0.00025735781988675793,1.707675935283973e-34,9.62964972193618e-35,0.027131591686149995
2026-04-09T18:56:42.371610,0.027083390551253833,1.487083644432836e-35,2.401378612486482e-36,0.00025706590652813013,2.1114958242686166e-35,2.047397131220996e-36,1.487119067520573e-35,0.027083390551253833,1.1089270124183808e-34,4.120448570853269e-34,0.00025706590652813013,1.2798700701975794e-34,2.4013786124864833e-36,1.0843052465400217e-34,0.027083390551253837,8.662785914365047e-35,1.2287473186372325e-33,0.00025706590652813024,0.00025706590652813013,4.12022740698673e-34,8.662785914365047e-35,0.027076436897669053,5.075495649244736e-34,9.049666768497226e-35,2.1188640629328323e-35,0.0002570659065281302,1.638489530795107e-33,5.121499209540332e-34,0.027076436897669056,7.058253039452739e-35,2.047397131220996e-36,2.546564715517889e-35,0.0002570659065281302,9.049666768497227e-35,4.6784673995664375e-35,0.027076436897669053
2026-04-09T18:56:42.379943,0.02705407810246994,9.028223208271666e-36,1.505965061193388e-36,0.00025687278886410295,1.2504315862534593e-35,1.3159633218752663e-36,9.028713668642704e-36,0.02705407810246994,6.353108559539635e-35,2.205514248153893e-34,0.00025687278886410295,6.806595617438352e-35,1.5059650611933887e-36,6.090900417891597e-35,0.027054078102469944,4.632588563712772e-35,6.537894396517622e-34,0.00025687278886410295,0.00025687278886410295,2.20527877121705e-34,4.6325885637127725e-35,0.027047097082772212,2.692968624466951e-34,4.7994487484716865e-35,1.2555304664937843e-35,0.000256872788864103,8.718875437431658e-34,2.717449067153653e-34,0.027047097082772212,3.4253227585535374e-35,1.3159633218752666e-36,1.345698853767657e-35,0.00025687278886410295,4.799448748471687e-35,2.2548369542629995e-35,0.02704709708277221
2026-04-09T18:56:42.388276,0.027038475946052142,-6.018531076210112e-36,-5.455159773745575e-36,0.00025674975573454923,3.065101519769115e-36,8.755272541406695e-37,-6.018531076210112e-36,0.02703847594605214,3.851859888774472e-34,-1.1555579666323415e-33,0.0002567497557345492,3.912045199536573e-35,-5.455159773745574e-36,1.925929944387236e-34,0.027038475946052142,-4.6528610615706624e-34,7.2222372914521344e-34,0.0002567497557345492,0.00025674975573454923,-3.851859888774472e-34,-4.6528610615706624e-34,0.027031480167368248,-1.8243672324761902e-34,2.970156664448152e-35,3.188528426605455e-36,0.0002567497557345493,7.703719777548943e-34,-1.775466667481983e-34,0.027031480167368248,1.504632769052528e-34,8.755272541406698e-37,9.027796614315168e-36,0.0002567497557345492,2.970156664448152e-35,1.4444474582904269e-34,0.02703148016736824
2026-04-09T18:56:42.396609,0.027030168549829762,-4.186720429663155e-36,-4.095137326856325e-36,0.00025667343704557856,1.1790588352118713e-36,5.567944279006003e-37,-6.161748200446723e-36,0.02703016854982977,2.071735653990707e-34,-6.15773042239936e-34,0.0002566734370455785,2.0488917544894893e-35,-4.095137326856324e-36,1.0442486944722785e-34,0.02703016854982977,-2.476762085069396e-34,3.8459023270652628e-34,0.00025667343704557856,0.00025667343704557856,-2.055662568544901e-34,-2.476762085069396e-34,0.027023164987447036,-9.64374443252408e-35,1.668682990390187e-35,1.264271628778259e-36,0.00025667343704557856,4.098833874665547e-34,-9.239061263476536e-35,0.027023164987447036,7.861260754809189e-35,5.567944279006005e-37,4.8104410545369174e-36,0.0002566734370455785,1.6686829903901867e-35,7.555283702047974e-35,0.02702316498744703
2026-04-09T18:56:42.404942,0.02702574443436313,6.018531076210112e-36,3.64376147585582e-36,0.00025662702771205617,5.789309677799766e-36,3.626631368341074e-37,6.018531076210112e-36,0.02702574443436313,3.851859888774472e-34,3.851859888774472e-34,0.000256627027712056,9.930576275746685e-35,3.6437614758558204e-36,1.925929944387236e-34,0.027025744434363133,3.6434777031166743e-34,5.7777898331617076e-34,0.00025662702771205606,0.0002566270277120561,7.703719777548943e-34,3.6434777031166734e-34,0.027018736861914625,3.6148802276486985e-34,1.0381933512765044e-35,5.7834322060456545e-36,0.0002566270277120561,3.851859888774472e-34,3.6111186457260672e-34,0.02701873686191462,-5.7777898331617076e-34,3.626631368341075e-37,8.877333337409915e-35,0.0002566270277120561,1.0381933512765044e-35,-6.7407548053553255e-34,0.02701873686191462
2026-04-09T18:56:42.413275,0.02702338811693786,5.2008626652771295e-36,2.876277998886591e-36,0.000256599236606598,3.9925614456904885e-36,2.0967819343140353e-37,4.2126814312849756e-36,0.027023388116937854,2.6481536735324493e-34,2.060629402604915e-34,0.0002565992366065979,-1.925929944387236e-33,2.8762779988865922e-36,1.5648180798146291e-34,0.02702338811693786,1.9406929554110672e-34,3.8872422687342226e-34,0.00025659923660659796,0.000256599236606598,4.112117045984205e-34,1.9406929554110672e-34,0.02701637853171025,1.910857757745295e-34,4.8467570326515405e-36,3.991940631050906e-36,0.0002565992366065979,2.857626766848981e-34,1.9160677128699276e-34,0.027016378531710242,-2.5311684757386152e-33,2.0967819343140345e-37,-1.925929944387236e-33,0.00025659923660659796,4.846757032651516e-36,-2.5864637300012956e-33,0.027016378531710242
2026-04-09T18:56:42.421608,0.02702213304653034,3.837491783700414e-36,2.030351841659447e-36,0.0002565827967182254,2.6033328631260155e-36,1.1697674322676566e-37,2.784873302479333e-36,0.027022133046530332,1.3679516190896823e-34,1.1023539573548448e-34,0.00025658279671822535,-1.0327672712685865e-33,2.0303518416594472e-36,7.936269029642102e-35,0.027022133046530335,1.033707739465661e-34,2.001273162290985e-34,0.00025658279671822535,0.0002565827967182254,2.1949699746270592e-34,1.033707739465661e-34,0.027015122481980725,1.0100397881845538e-34,2.217825444473052e-36,2.6080399102898554e-36,0.00025658279671822535,1.4522773613279609e-34,1.0166564464843166e-34,0.027015122481980722,-1.3451487474163246e-33,1.1697674322676554e-37,-1.0327072248944672e-33,0.00025658279671822535,2.2178254444730386e-36,-1.3747951755327745e-33,0.027015122481980722
2026-04-09T18:56:42.429941,0.02702146451900641,0.0,-1.861642699450495e-36,0.0002565731678768427,5.5130685053565284e-36,3.259706153721195e-36,0.0,0.027021464519006406,1.925929944387236e-34,0.0,0.0002565731678768426,-4.81482486096809e-34,-1.861642699450495e-36,1.925929944387236e-34,0.02702146451900641,-1.9148856651206823e-34,1.925929944387236e-34,0.0002565731678768426,0.00025657316787684265,0.0,-1.9148856651206823e-34,0.027014453496748716,3.528363843428178e-34,2.4660650056970485e-34,5.5542108076353085e-36,0.0002565731678768426,1.925929944387236e-34,3.550933334963966e-34,0.027014453496748712,-6.2592723192585165e-34,3.259706153721195e-36,-4.81482486096809e-34,0.0002565731678768426,2.466065005697049e-34,-5.7777898331617076e-34,0.027014453496748712
2026-04-09T18:56:42.438274,0.02702110841074384,1.8507384880367616e-38,-1.4714169322032218e-36,0.00025656757455189827,3.841802041974191e-36,2.3742229356705243e-36,1.864084979737496e-38,0.02702110841074384,1.0182447295676e-34,9.111318652776386e-37,0.0002565675745518982,-2.5841927705169053e-34,-1.4714169322032215e-36,1.018250681433882e-34,0.02702110841074384,-1.0135580492163723e-34,1.0074144147216741e-34,0.0002565675745518982,0.00025656757455189827,9.05340825595252e-37,-1.0135580492163726e-34,0.027014097186473556,1.8793256070143086e-34,1.317106076912322e-34,3.869506971331048e-36,0.0002565675745518982,1.0061789137481838e-34,1.8913467694966143e-34,0.027014097186473556,-3.32866050871639e-34,2.3742229356705246e-36,-2.5829572695434796e-34,0.0002565675745518982,1.317106076912322e-34,-3.0721926072140024e-34,0.02701409718647356
