time,a.world_accel.αx,a.world_accel.αy,a.world_accel.αz,a.world_accel.x,a.world_accel.y,a.world_accel.z
2026-03-27T20:29:47.744671,0.0,0.0,0.0,-0.9458717291997393,-0.5078974335199384,0.0
2026-03-27T20:29:47.753004,0.0,0.0,0.0,-0.9395051661655285,-0.5188221835711572,0.0
2026-03-27T20:29:47.761337,0.0,0.0,0.0,-0.9331540210033071,-0.5297598292144969,0.0
2026-03-27T20:29:47.769670,0.0,0.0,0.0,-0.9268193564242365,-0.5407085543424796,0.0
2026-03-27T20:29:47.778003,0.0,0.0,0.0,-0.9205022201002475,-0.5516665437695004,0.0
2026-03-27T20:29:47.786336,0.0,0.0,0.0,-0.9142036510400368,-0.5626319727366718,0.0
2026-03-27T20:29:47.794669,0.0,0.0,0.0,-0.9079246846541096,-0.5736029956565007,0.0
2026-03-27T20:29:47.803002,0.0,0.0,0.0,-0.90166635651223,-0.5845777340868541,0.0
2026-03-27T20:29:47.811335,0.0,0.0,0.0,-0.8954297047930073,-0.5955542639239555,0.0
2026-03-27T20:29:47.819668,0.0,0.0,0.0,-0.8892157714212251,-0.6065306018059808,0.0
2026-03-27T20:29:47.828001,0.0,0.0,0.0,-0.8830256018841605,-0.6175046907223357,0.0
2026-03-27T20:29:47.836334,0.0,0.0,0.0,-0.8768602437136555,-0.6284743848290724,0.0
2026-03-27T20:29:47.844667,0.0,0.0,0.0,-0.8707207436163412,-0.6394374334782427,0.0
2026-03-27T20:29:47.853,0.0,0.0,0.0,-0.8646081432303424,-0.6503914644785259,0.0
2026-03-27T20:29:47.861333,0.0,0.0,0.0,-0.8585234734832227,-0.6613339666163196,0.0
2026-03-27T20:29:47.869666,0.0,0.0,0.0,-0.8524677475231575,-0.6722622714808864,0.0
2026-03-27T20:29:47.877999,0.0,0.0,0.0,-0.8464419521935165,-0.6831735346542159,0.0
2026-03-27T20:29:47.886332,0.0,0.0,0.0,-0.8404470380205932,-0.6940647163462016,0.0
2026-03-27T20:29:47.894665,0.0,0.0,0.0,-0.8344839076853668,-0.7049325615786488,0.0
2026-03-27T20:29:47.902998,0.0,0.0,0.0,-0.8285534029533205,-0.7157735800476226,0.0
2026-03-27T20:29:47.911331,0.0,0.0,0.0,-0.8226562900418237,-0.7265840258227618,0.0
2026-03-27T20:29:47.919664,0.0,0.0,0.0,-0.8167932434128278,-0.7373598770743898,0.0
2026-03-27T20:29:47.927997,0.0,0.0,0.0,-0.8109648279900078,-0.7480968160543894,0.0
2026-03-27T20:29:47.936330,0.0,0.0,0.0,-0.8051714798145085,-0.7587902095946892,0.0
2026-03-27T20:29:47.944663,0.0,0.0,0.0,-0.7994134851724414,-0.7694350904273347,0.0
2026-03-27T20:29:47.952996,0.0,0.0,0.0,-0.7936909582507317,-0.7800261396720345,0.0
2026-03-27T20:29:47.961329,0.0,0.0,0.0,-0.7880038174061316,-0.7905576708798927,0.0
2026-03-27T20:29:47.969662,0.0,0.0,0.0,-0.7823517601654799,-0.8010236160648262,0.0
2026-03-27T20:29:47.977995,0.0,0.0,0.0,-0.7767342371138195,-0.811417514195636,0.0
2026-03-27T20:29:47.986328,0.0,0.0,0.0,-0.771150424870763,-0.8217325026603114,0.0
2026-03-27T20:29:47.994661,0.0,0.0,0.0,-0.7655991984043916,-0.8319613122480822,0.0
2026-03-27T20:29:48.002994,0.0,0.0,0.0,-0.7600791029855916,-0.8420962662219242,0.0
2026-03-27T20:29:48.011327,0.0,0.0,0.0,-0.7545883261433365,-0.8521292840722662,0.0
2026-03-27T20:29:48.019660,0.0,0.0,0.0,-0.7491246700420547,-0.8620518905490157,0.0
2026-03-27T20:29:48.027993,0.0,0.0,0.0,-0.7436855247644018,-0.8718552305609808,0.0
2026-03-27T20:29:48.036326,0.0,0.0,0.0,-0.7382678430446887,-0.8815300905064812,0.0
2026-03-27T20:29:48.044659,0.0,0.0,0.0,-0.732868117057623,-0.8910669265537932,0.0
2026-03-27T20:29:48.052992,0.0,0.0,0.0,-0.7274823579211772,-0.9004559003224386,0.0
2026-03-27T20:29:48.061325,0.0,0.0,0.0,-0.722106078618193,-0.9096869223242071,0.0
2026-03-27T20:29:48.069658,0.0,0.0,0.0,-0.7167342810753085,-0.9187497034046527,0.0
2026-03-27T20:29:48.077991,0.0,0.0,0.0,-0.7113614481562138,-0.9276338142809955,0.0
2026-03-27T20:29:48.086324,0.0,0.0,0.0,-0.7059815413253376,-0.9363287531013503,0.0
2026-03-27T20:29:48.094657,0.0,0.0,0.0,-0.7005880047141153,-0.9448240207546644,0.0
2026-03-27T20:29:48.102990,0.0,0.0,0.0,-0.6951737762716256,-0.9531092034439215,0.0
2026-03-27T20:29:48.111323,0.0,0.0,0.0,-0.689731306601868,-0.9611740618018701,0.0
2026-03-27T20:29:48.119656,0.0,0.0,0.0,-0.684252585979424,-0.9690086255852033,0.0
2026-03-27T20:29:48.127989,0.0,0.0,0.0,-0.6787291798930555,-0.9766032927378894,0.0
2026-03-27T20:29:48.136322,0.0,0.0,0.0,-0.6731522732937921,-0.983948931376737,0.0
