time,c.force.τx,c.force.τy,c.force.τz,c.force.x,c.force.y,c.force.z
2026-03-20T06:13:34.625079,0.0,0.0,0.0,38267442917.0411,-52824990622.44247,0.0
2026-03-20T06:13:34.633412,0.0,0.0,0.0,39985896437.894135,-51730158128.886086,0.0
2026-03-20T06:13:34.641745,0.0,0.0,0.0,41680001586.560585,-50592828044.15921,0.0
2026-03-20T06:13:34.650078,0.0,0.0,0.0,43350036384.68233,-49412700532.147675,0.0
2026-03-20T06:13:34.658411,0.0,0.0,0.0,44996178787.730934,-48189338809.56803,0.0
2026-03-20T06:13:34.666744,0.0,0.0,0.0,46618495270.063324,-46922176702.469406,0.0
2026-03-20T06:13:34.675077,0.0,0.0,0.0,48216929470.61232,-45610526655.69255,0.0
2026-03-20T06:13:34.683410,0.0,0.0,0.0,49791290862.67285,-44253588265.95797,0.0
2026-03-20T06:13:34.691743,0.0,0.0,0.0,51341243423.044754,-42850457420.103294,0.0
2026-03-20T06:13:34.700076,0.0,0.0,0.0,52866294289.04656,-41400136130.05701,0.0
2026-03-20T06:13:34.708409,0.0,0.0,0.0,54365782406.74411,-39901543165.31613,0.0
2026-03-20T06:13:34.716742,0.0,0.0,0.0,55838867190.27057,-38353525591.82601,0.0
2026-03-20T06:13:34.725075,0.0,0.0,0.0,57284517230.479774,-36754871333.03545,0.0
2026-03-20T06:13:34.733408,0.0,0.0,0.0,58701499111.49054,-35104322874.24013,0.0
2026-03-20T06:13:34.741741,0.0,0.0,0.0,60088366416.04256,-33400592234.801556,0.0
2026-03-20T06:13:34.750074,0.0,0.0,0.0,61443449025.057304,-31642377334.028893,0.0
2026-03-20T06:13:34.758407,0.0,0.0,0.0,62764842843.39026,-29828379874.96293,0.0
2026-03-20T06:13:34.766740,0.0,0.0,0.0,64050400112.41223,-27957324865.458786,0.0
2026-03-20T06:13:34.775073,0.0,0.0,0.0,65297720500.62138,-26027981887.21502,0.0
2026-03-20T06:13:34.783406,0.0,0.0,0.0,66504143195.69709,-24039188210.066555,0.0
2026-03-20T06:13:34.791739,0.0,0.0,0.0,67666740254.85674,-21989873830.227104,0.0
2026-03-20T06:13:34.800072,0.0,0.0,0.0,68782311504.50232,-19879088486.48192,0.0
2026-03-20T06:13:34.808405,0.0,0.0,0.0,69847381314.17285,-17706030676.83746,0.0
2026-03-20T06:13:34.816738,0.0,0.0,0.0,70858197602.77826,-15470078659.107822,0.0
2026-03-20T06:13:34.825071,0.0,0.0,0.0,71810733465.74716,-13170823371.707087,0.0
2026-03-20T06:13:34.833404,0.0,0.0,0.0,72700691838.59079,-10808103155.001698,0.0
2026-03-20T06:13:34.841737,0.0,0.0,0.0,73523513633.72273,-8382040088.634688,0.0
2026-03-20T06:13:34.850070,0.0,0.0,0.0,74274389801.15027,-5893077686.209003,0.0
2026-03-20T06:13:34.858403,0.0,0.0,0.0,74948277767.61987,-3342019605.9164896,0.0
2026-03-20T06:13:34.866736,0.0,0.0,0.0,75539922700.49084,-730068944.8763566,0.0
2026-03-20T06:13:34.875069,0.0,0.0,0.0,76043884019.43617,1941132412.6006832,0.0
2026-03-20T06:13:34.883402,0.0,0.0,0.0,76454567538.4032,4669465024.944398,0.0
2026-03-20T06:13:34.891735,0.0,0.0,0.0,76766263559.57735,7452294438.057398,0.0
2026-03-20T06:13:34.900068,0.0,0.0,0.0,76973191158.1146,10286435884.657003,0.0
2026-03-20T06:13:34.908401,0.0,0.0,0.0,77069548789.33218,13168122075.746452,0.0
2026-03-20T06:13:34.916734,0.0,0.0,0.0,77049571217.76195,16092975108.951202,0.0
2026-03-20T06:13:34.925067,0.0,0.0,0.0,76907592609.79001,19055983589.480595,0.0
2026-03-20T06:13:34.933400,0.0,0.0,0.0,76638115449.55702,22051486108.056,0.0
2026-03-20T06:13:34.941733,0.0,0.0,0.0,76235884733.81766,25073162239.708225,0.0
2026-03-20T06:13:34.950066,0.0,0.0,0.0,75695966679.67493,28114032211.308853,0.0
2026-03-20T06:13:34.958399,0.0,0.0,0.0,75013830945.40463,31166466327.865784,0.0
2026-03-20T06:13:34.966732,0.0,0.0,0.0,74185435126.73425,34222205142.659996,0.0
2026-03-20T06:13:34.975065,0.0,0.0,0.0,73207310058.46802,37272391200.290886,0.0
2026-03-20T06:13:34.983398,0.0,0.0,0.0,72076644235.37386,40307612972.64674,0.0
2026-03-20T06:13:34.991731,0.0,0.0,0.0,70791365479.0479,43317961346.21847,0.0
2026-03-20T06:13:35.000064,0.0,0.0,0.0,69350217831.9655,46293098708.461266,0.0
