time,b.world_pos.q0,b.world_pos.q1,b.world_pos.q2,b.world_pos.q3,b.world_pos.x,b.world_pos.y,b.world_pos.z
2026-03-19T22:53:10.918325,0.0,0.0,0.0,1.0,-0.5425141177853766,-0.30796524229972355,0.0
2026-03-19T22:53:10.926658,0.0,0.0,0.0,1.0,-0.5341246856955219,-0.31668710100044173,0.0
2026-03-19T22:53:10.934991,0.0,0.0,0.0,1.0,-0.5255592368754834,-0.32510474649018206,0.0
2026-03-19T22:53:10.943324,0.0,0.0,0.0,1.0,-0.5168296746117912,-0.33321434984762516,0.0
2026-03-19T22:53:10.951657,0.0,0.0,0.0,1.0,-0.5079478533674547,-0.34101256122014967,0.0
2026-03-19T22:53:10.959990,0.0,0.0,0.0,1.0,-0.4989255609693997,-0.34849649145933953,0.0
2026-03-19T22:53:10.968323,0.0,0.0,0.0,1.0,-0.4897745029385924,-0.3556636936190077,0.0
2026-03-19T22:53:10.976656,0.0,0.0,0.0,1.0,-0.48050628885719554,-0.36251214450046393,0.0
2026-03-19T22:53:10.984989,0.0,0.0,0.0,1.0,-0.4711324206571818,-0.36904022640865825,0.0
2026-03-19T22:53:10.993322,0.0,0.0,0.0,1.0,-0.4616642827078225,-0.375246709262431,0.0
2026-03-19T22:53:11.001655,0.0,0.0,0.0,1.0,-0.4521131335750268,-0.3811307331826703,0.0
2026-03-19T22:53:11.009988,0.0,0.0,0.0,1.0,-0.4424900993232802,-0.38669179166391476,0.0
2026-03-19T22:53:11.018321,0.0,0.0,0.0,1.0,-0.43280616823058454,-0.3919297154179805,0.0
2026-03-19T22:53:11.026654,0.0,0.0,0.0,1.0,-0.42307218678801406,-0.3968446569626238,0.0
2026-03-19T22:53:11.034987,0.0,0.0,0.0,1.0,-0.4132988568579761,-0.4014370760141017,0.0
2026-03-19T22:53:11.043320,0.0,0.0,0.0,1.0,-0.4034967338687271,-0.4057077257297674,0.0
2026-03-19T22:53:11.051653,0.0,0.0,0.0,1.0,-0.39367622592690166,-0.4096576398354966,0.0
2026-03-19T22:53:11.059986,0.0,0.0,0.0,1.0,-0.3838475937345482,-0.413288120662732,0.0
2026-03-19T22:53:11.068319,0.0,0.0,0.0,1.0,-0.37402095120223594,-0.4166007281111737,0.0
2026-03-19T22:53:11.076652,0.0,0.0,0.0,1.0,-0.36420626665504996,-0.41959726954555304,0.0
2026-03-19T22:53:11.084985,0.0,0.0,0.0,1.0,-0.35441336453357847,-0.4222797906284013,0.0
2026-03-19T22:53:11.093318,0.0,0.0,0.0,1.0,-0.34465192749721174,-0.4246505670851655,0.0
2026-03-19T22:53:11.101651,0.0,0.0,0.0,1.0,-0.3349314988421179,-0.42671209739332283,0.0
2026-03-19T22:53:11.109984,0.0,0.0,0.0,1.0,-0.3252614851510647,-0.4284670963832032,0.0
2026-03-19T22:53:11.118317,0.0,0.0,0.0,1.0,-0.3156511590967617,-0.4299184897349374,0.0
2026-03-19T22:53:11.126650,0.0,0.0,0.0,1.0,-0.3061096623245604,-0.43106940935321214,0.0
2026-03-19T22:53:11.134983,0.0,0.0,0.0,1.0,-0.2966460083441389,-0.4319231895992321,0.0
2026-03-19T22:53:11.143316,0.0,0.0,0.0,1.0,-0.2872690853632024,-0.43248336435737583,0.0
2026-03-19T22:53:11.151649,0.0,0.0,0.0,1.0,-0.2779876589992293,-0.4327536649123947,0.0
2026-03-19T22:53:11.159982,0.0,0.0,0.0,1.0,-0.26881037480790043,-0.43273801861156397,0.0
2026-03-19T22:53:11.168315,0.0,0.0,0.0,1.0,-0.25974576056905985,-0.43244054828487044,0.0
2026-03-19T22:53:11.176648,0.0,0.0,0.0,1.0,-0.2508022282728922,-0.43186557239504103,0.0
2026-03-19T22:53:11.184981,0.0,0.0,0.0,1.0,-0.241988075750484,-0.4310176058879075,0.0
2026-03-19T22:53:11.193314,0.0,0.0,0.0,1.0,-0.23331148789408335,-0.4299013617122013,0.0
2026-03-19T22:53:11.201647,0.0,0.0,0.0,1.0,-0.224780537413228,-0.4285217529763134,0.0
2026-03-19T22:53:11.209980,0.0,0.0,0.0,1.0,-0.2164031850735008,-0.4268838957077784,0.0
2026-03-19T22:53:11.218313,0.0,0.0,0.0,1.0,-0.20818727936504514,-0.42499311217919244,0.0
2026-03-19T22:53:11.226646,0.0,0.0,0.0,1.0,-0.20014055554817864,-0.42285493476189845,0.0
2026-03-19T22:53:11.234979,0.0,0.0,0.0,1.0,-0.1922706340235309,-0.4204751102660162,0.0
2026-03-19T22:53:11.243312,0.0,0.0,0.0,1.0,-0.1845850179741711,-0.4178596047222159,0.0
2026-03-19T22:53:11.251645,0.0,0.0,0.0,1.0,-0.17709109022724506,-0.41501460855698447,0.0
2026-03-19T22:53:11.259978,0.0,0.0,0.0,1.0,-0.16979610928279026,-0.4119465421089794,0.0
2026-03-19T22:53:11.268311,0.0,0.0,0.0,1.0,-0.16270720445772613,-0.4086620614293704,0.0
2026-03-19T22:53:11.276644,0.0,0.0,0.0,1.0,-0.155831370093619,-0.4051680643038103,0.0
2026-03-19T22:53:11.284977,0.0,0.0,0.0,1.0,-0.1491754587778025,-0.4014716964278343,0.0
2026-03-19T22:53:11.293310,0.0,0.0,0.0,1.0,-0.1427461735289056,-0.3975803576610562,0.0
2026-03-19T22:53:11.301643,0.0,0.0,0.0,1.0,-0.1365500588999289,-0.39350170827851644,0.0
2026-03-19T22:53:11.309976,0.0,0.0,0.0,1.0,-0.13059349095484463,-0.38924367512995967,0.0
2026-03-19T22:53:11.318309,0.0,0.0,0.0,1.0,-0.12488266607842027,-0.3848144576097193,0.0
2026-03-19T22:53:11.326642,0.0,0.0,0.0,1.0,-0.11942358858372971,-0.38022253333132117,0.0
2026-03-19T22:53:11.334975,0.0,0.0,0.0,1.0,-0.1142220570877697,-0.37547666339197594,0.0
2026-03-19T22:53:11.343308,0.0,0.0,0.0,1.0,-0.10928364963290621,-0.3705858971029158,0.0
2026-03-19T22:53:11.351641,0.0,0.0,0.0,1.0,-0.10461370754068589,-0.3655595760521969,0.0
2026-03-19T22:53:11.359974,0.0,0.0,0.0,1.0,-0.10021731799501687,-0.36040733735730757,0.0
2026-03-19T22:53:11.368307,0.0,0.0,0.0,1.0,-0.09609929536398967,-0.3551391159559106,0.0
2026-03-19T22:53:11.376640,0.0,0.0,0.0,1.0,-0.09226416128379407,-0.3497651457745675,0.0
2026-03-19T22:53:11.384973,0.0,0.0,0.0,1.0,-0.08871612354438901,-0.3442959596076349,0.0
2026-03-19T22:53:11.393306,0.0,0.0,0.0,1.0,-0.08545905383485877,-0.33874238753203384,0.0
2026-03-19T22:53:11.401639,0.0,0.0,0.0,1.0,-0.08249646442675504,-0.333115553678655,0.0
2026-03-19T22:53:11.409972,0.0,0.0,0.0,1.0,-0.07983148389613802,-0.3274268711781901,0.0
2026-03-19T22:53:11.418305,0.0,0.0,0.0,1.0,-0.0774668320093778,-0.32168803509862964,0.0
2026-03-19T22:53:11.426638,0.0,0.0,0.0,1.0,-0.07540479392386641,-0.31591101319400994,0.0
2026-03-19T22:53:11.434971,0.0,0.0,0.0,1.0,-0.0736471938823347,-0.3101080342897139,0.0
2026-03-19T22:53:11.443304,0.0,0.0,0.0,1.0,-0.07219536860807628,-0.304291574139211,0.0
2026-03-19T22:53:11.451637,0.0,0.0,0.0,1.0,-0.07105014063755148,-0.2984743386010153,0.0
2026-03-19T22:53:11.459970,0.0,0.0,0.0,1.0,-0.07021179185596059,-0.2926692440032572,0.0
2026-03-19T22:53:11.468303,0.0,0.0,0.0,1.0,-0.06968003752970102,-0.2868893945869373,0.0
2026-03-19T22:53:11.476636,0.0,0.0,0.0,1.0,-0.06945400115631277,-0.28114805694789075,0.0
2026-03-19T22:53:11.484969,0.0,0.0,0.0,1.0,-0.06953219047662149,-0.27545863143184074,0.0
2026-03-19T22:53:11.493302,0.0,0.0,0.0,1.0,-0.06991247501428233,-0.26983462047658796,0.0
2026-03-19T22:53:11.501635,0.0,0.0,0.0,1.0,-0.07059206552372853,-0.26428959394012197,0.0
2026-03-19T22:53:11.509968,0.0,0.0,0.0,1.0,-0.07156749573753914,-0.258837151502769,0.0
2026-03-19T22:53:11.518301,0.0,0.0,0.0,1.0,-0.0728346068073892,-0.2534908822847045,0.0
2026-03-19T22:53:11.526634,0.0,0.0,0.0,1.0,-0.07438853482804247,-0.24826432187630193,0.0
2026-03-19T22:53:11.534967,0.0,0.0,0.0,1.0,-0.07622370182043549,-0.24317090703666563,0.0
