time,a.inertia_0,a.inertia_1,a.inertia_2,a.inertia_3,a.inertia_4,a.inertia_5,a.inertia_6
2026-05-06T20:26:47.292484,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.300817,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.309150,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.317483,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.325816,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.334149,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.342482,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.350815,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.359148,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.367481,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.375814,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.384147,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.392480,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.400813,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.409146,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.417479,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.425812,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.434145,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.442478,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.450811,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.459144,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.467477,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.475810,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.484143,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.492476,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.500809,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.509142,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.517475,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
2026-05-06T20:26:47.525808,14982844642.8839,14982844642.8839,14982844642.8839,0.0,0.0,0.0,14982844642.8839
