time,a.world_pos_q0,a.world_pos_q1,a.world_pos_q2,a.world_pos_q3,a.world_pos_x,a.world_pos_y,a.world_pos_z
2026-08-21T00:30:45.201725,0.0,0.0,0.0,1.0,0.8618888509115826,0.2221746281789404,0.0
2026-08-21T00:30:45.210058,0.0,0.0,0.0,1.0,0.8596495538775887,0.23025219186100213,0.0
2026-08-21T00:30:45.218391,0.0,0.0,0.0,1.0,0.8573335114989924,0.2383127317540343,0.0
2026-08-21T00:30:45.226724,0.0,0.0,0.0,1.0,0.8549411455682194,0.2463555610342936,0.0
2026-08-21T00:30:45.235057,0.0,0.0,0.0,1.0,0.8524728821122991,0.25437998787192523,0.0
2026-08-21T00:30:45.243390,0.0,0.0,0.0,1.0,0.8499291509033159,0.26238531561324147,0.0
2026-08-21T00:30:45.251723,0.0,0.0,0.0,1.0,0.8473103850041969,0.2703708429676684,0.0
2026-08-21T00:30:45.260056,0.0,0.0,0.0,1.0,0.8446170203486562,0.27833586419780876,0.0
2026-08-21T00:30:45.268389,0.0,0.0,0.0,1.0,0.8418494953539111,0.28627966931123155,0.0
2026-08-21T00:30:45.276722,0.0,0.0,0.0,1.0,0.8390082505646228,0.2942015442527575,0.0
2026-08-21T00:30:45.285055,0.0,0.0,0.0,1.0,0.8360937283263915,0.3021007710961653,0.0
2026-08-21T00:30:45.293388,0.0,0.0,0.0,1.0,0.833106372487048,0.3099766282343901,0.0
2026-08-21T00:30:45.301721,0.0,0.0,0.0,1.0,0.8300466281239264,0.31782839056742757,0.0
2026-08-21T00:30:45.310054,0.0,0.0,0.0,1.0,0.8269149412952761,0.32565532968728783,0.0
2026-08-21T00:30:45.318387,0.0,0.0,0.0,1.0,0.823711758813964,0.3334567140594675,0.0
2026-08-21T00:30:45.326720,0.0,0.0,0.0,1.0,0.8204375280416359,0.34123180920052393,0.0
2026-08-21T00:30:45.335053,0.0,0.0,0.0,1.0,0.8170926967015397,0.3489798778514417,0.0
2026-08-21T00:30:45.343386,0.0,0.0,0.0,1.0,0.81367771270826,0.35670018014657967,0.0
2026-08-21T00:30:45.351719,0.0,0.0,0.0,1.0,0.8101930240126743,0.36439197377807986,0.0
2026-08-21T00:30:45.360052,0.0,0.0,0.0,1.0,0.8066390784605136,0.3720545141557009,0.0
2026-08-21T00:30:45.368385,0.0,0.0,0.0,1.0,0.8030163236629811,0.3796870545621191,0.0
2026-08-21T00:30:45.376718,0.0,0.0,0.0,1.0,0.7993252068779745,0.3872888463038105,0.0
2026-08-21T00:30:45.385051,0.0,0.0,0.0,1.0,0.7955661749005375,0.3948591388576962,0.0
2026-08-21T00:30:45.393384,0.0,0.0,0.0,1.0,0.7917396739612615,0.40239718001379443,0.0
2026-08-21T00:30:45.401717,0.0,0.0,0.0,1.0,0.7878461496314489,0.40990221601418514,0.0
2026-08-21T00:30:45.410050,0.0,0.0,0.0,1.0,0.7838860467339434,0.41737349168864674,0.0
2026-08-21T00:30:45.418383,0.0,0.0,0.0,1.0,0.7798598092586276,0.42481025058738225,0.0
2026-08-21T00:30:45.426716,0.0,0.0,0.0,1.0,0.7757678802816832,0.43221173511130306,0.0
2026-08-21T00:30:45.435049,0.0,0.0,0.0,1.0,0.7716107018877987,0.439577186640392,0.0
2026-08-21T00:30:45.443382,0.0,0.0,0.0,1.0,0.7673887150946098,0.44690584566071867,0.0
2026-08-21T00:30:45.451715,0.0,0.0,0.0,1.0,0.7631023597787444,0.454196951890731,0.0
2026-08-21T00:30:45.460048,0.0,0.0,0.0,1.0,0.7587520746029385,0.4614497444074998,0.0
2026-08-21T00:30:45.468381,0.0,0.0,0.0,1.0,0.7543382969437814,0.46866346177364393,0.0
2026-08-21T00:30:45.476714,0.0,0.0,0.0,1.0,0.7498614628197384,0.4758373421657174,0.0
2026-08-21T00:30:45.485047,0.0,0.0,0.0,1.0,0.74532200681919,0.482970623504893,0.0
2026-08-21T00:30:45.493380,0.0,0.0,0.0,1.0,0.7407203620283186,0.4900625435908309,0.0
2026-08-21T00:30:45.501713,0.0,0.0,0.0,1.0,0.7360569599587639,0.4971123402396757,0.0
