time,rocket.v_rel_accel_filtered_x,rocket.v_rel_accel_filtered_y,rocket.v_rel_accel_filtered_z
2026-05-06T20:26:45.894992,-66.27767000549485,0.0,-0.6075941632595678
2026-05-06T20:26:45.903325,-65.94405417304549,0.0,-0.6321589803842077
2026-05-06T20:26:45.911658,-65.56375939323831,0.0,-0.6572905243293138
2026-05-06T20:26:45.919991,-65.13851791171939,0.0,-0.6829936695543027
2026-05-06T20:26:45.928324,-64.67005734958983,0.0,-0.7092730989503515
2026-05-06T20:26:45.936657,-64.16009647108139,0.0,-0.7361332676776031
2026-05-06T20:26:45.944990,-63.610341276391644,0.0,-0.7635783670088804
2026-05-06T20:26:45.953323,-63.02248140680783,0.0,-0.7916122883748935
2026-05-06T20:26:45.961656,-62.398186849343304,0.0,-0.8202385878046411
2026-05-06T20:26:45.969989,-61.739104928231924,0.0,-0.8494604509531194
2026-05-06T20:26:45.978322,-61.04685757077206,0.0,-0.8792806589065049
2026-05-06T20:26:45.986655,-60.32303883518102,0.0,-0.9097015549526771
2026-05-06T20:26:45.994988,-59.56921268830989,0.0,-0.9407250125022867
2026-05-06T20:26:46.003321,-58.78691102127715,0.0,-0.9723524043425369
2026-05-06T20:26:46.011654,-57.97763189130386,0.0,-1.004584573402442
2026-05-06T20:26:46.019987,-57.142837978272986,0.0,-1.0374218052045365
2026-05-06T20:26:46.028320,-56.28395524478818,0.0,-1.0708638021738375
2026-05-06T20:26:46.036653,-55.40237178877155,0.0,-1.1049096599703097
2026-05-06T20:26:46.044986,-54.499436877914576,0.0,-1.139557846006137
2026-05-06T20:26:46.053319,-53.576460155578985,0.0,-1.174806180303791
2026-05-06T20:26:46.061652,-52.6347110080349,0.0,-1.210651818845165
2026-05-06T20:26:46.069985,-51.67580776650357,0.0,-1.2470759291990874
2026-05-06T20:26:46.078318,-50.70233795632277,0.0,-1.2840195160002257
2026-05-06T20:26:46.086651,-49.717652271087665,0.0,-1.321392003876465
2026-05-06T20:26:46.094984,-48.72515165938475,0.0,-1.3590995777175199
2026-05-06T20:26:46.103317,-47.72801491981989,0.0,-1.3970559107775369
2026-05-06T20:26:46.111650,-46.72920614987549,0.0,-1.4351818229389828
2026-05-06T20:26:46.119983,-45.73148223049189,0.0,-1.473404941554698
2026-05-06T20:26:46.128316,-44.73740032403681,0.0,-1.5116593656338653
2026-05-06T20:26:46.136649,-43.74932536489778,0.0,-1.5498853340212153
2026-05-06T20:26:46.144982,-42.769437523434824,0.0,-1.588028898164739
2026-05-06T20:26:46.153315,-41.799739625476775,0.0,-1.6260416000153475
2026-05-06T20:26:46.161648,-40.84206451093397,0.0,-1.663880155552265
2026-05-06T20:26:46.169981,-39.89808231643438,0.0,-1.701506144380461
2026-05-06T20:26:46.178314,-38.96930766816842,0.0,-1.7388857058010778
2026-05-06T20:26:46.186647,-38.05710677235162,0.0,-1.7759892417125707
2026-05-06T20:26:46.194980,-37.16270439188383,0.0,-1.8127911266591115
2026-05-06T20:26:46.203313,-36.28719069889984,0.0,-1.8492694253036661
2026-05-06T20:26:46.211646,-35.43152799396996,0.0,-1.885405617566018
2026-05-06T20:26:46.219979,-34.59655728372124,0.0,-1.9211843316308201
