time,rocket.world_vel_ωx,rocket.world_vel_ωy,rocket.world_vel_ωz,rocket.world_vel_x,rocket.world_vel_y,rocket.world_vel_z
2026-08-21T00:30:43.985690,0.0,-0.09320398960209421,0.0,-16.50404911108143,0.0,37.902582105557414
2026-08-21T00:30:43.994023,0.0,-0.09417218628047486,0.0,-16.59087995112726,0.0,38.0480228101725
2026-08-21T00:30:44.002356,0.0,-0.09506843765941476,0.0,-16.677923919094567,0.0,38.193347932046436
2026-08-21T00:30:44.010689,0.0,-0.09588972749871115,0.0,-16.765184716474533,0.0,38.338555194778536
2026-08-21T00:30:44.019022,0.0,-0.0966330465009218,0.0,-16.852665871610665,0.0,38.48364236892845
2026-08-21T00:30:44.027355,0.0,-0.09729539525585539,0.0,-16.940370730826874,0.0,38.62860727622992
2026-08-21T00:30:44.035688,0.0,-0.09787378710390865,0.0,-17.028302449625176,0.0,38.77344779385366
2026-08-21T00:30:44.044021,0.0,-0.09836525091621874,0.0,-17.116463983961008,0.0,38.9181618587174
2026-08-21T00:30:44.052354,0.0,-0.09876683378967745,0.0,-17.204858081603884,0.0,39.0627474718407
2026-08-21T00:30:44.060687,0.0,-0.09907560365490915,0.0,-17.293487273590763,0.0,39.20720270274226
2026-08-21T00:30:44.069020,0.0,-0.09928865179536761,0.0,-17.38235386577929,0.0,39.35152569387675
