time,rocket.world_pos_q0,rocket.world_pos_q1,rocket.world_pos_q2,rocket.world_pos_q3,rocket.world_pos_x,rocket.world_pos_y,rocket.world_pos_z
2026-08-21T00:30:43.369048,0.0,0.5735613243259275,0.0,0.8191626256351593,-0.31245142405631804,0.0,1.7713801180727262
2026-08-21T00:30:43.377381,0.0,0.573557102263293,0.0,0.8191655818229514,-0.35160237128928623,0.0,1.8677403444138652
2026-08-21T00:30:43.385714,0.0,0.5735520623070863,0.0,0.8191691106379001,-0.3929203998254393,0.0,1.9693796431189858
2026-08-21T00:30:43.394047,0.0,0.5735461085605009,0.0,0.8191732791998932,-0.43638188198332284,0.0,2.0762337265732413
2026-08-21T00:30:43.402380,0.0,0.5735391407039074,0.0,0.8191781577170033,-0.4819631862488246,0.0,2.1882383007156285
2026-08-21T00:30:43.410713,0.0,0.5735310541660137,0.0,0.8191838193636524,-0.5296406788085914,0.0,2.3053290648317875
2026-08-21T00:30:43.419046,0.0,0.5735217403019948,0.0,0.8191903401536004,-0.5793907250933306,0.0,2.4274417113373854
2026-08-21T00:30:43.427379,0.0,0.5735110865787603,0.0,0.81919779880762,-0.6311896913256541,0.0,2.5545119255540185
2026-08-21T00:30:43.435712,0.0,0.5734989767675003,0.0,0.8192062766157436,-0.6850139460671385,0.0,2.686475385479559
2026-08-21T00:30:43.444045,0.0,0.5734852911436195,0.0,0.8192158572939847,-0.7408398617592837,0.0,2.8232677615548782
2026-08-21T00:30:43.452378,0.0,0.573469906694143,0.0,0.8192266268354631,-0.7986438162530727,0.0,2.9648247164288617
2026-08-21T00:30:43.460711,0.0,0.5734526973326496,0.0,0.819238673355884,-0.8584021943218567,0.0,3.1110819047236307
2026-08-21T00:30:43.469044,0.0,0.5734335341217546,0.0,0.8192520869333412,-0.920091389152316,0.0,3.261974972801868
2026-08-21T00:30:43.477377,0.0,0.5734122855031399,0.0,0.8192669594424432,-0.9836878038082777,0.0,3.4174395585381383
2026-08-21T00:30:43.485710,0.0,0.5733888175350964,0.0,0.8192833843827811,-1.0491678526622108,0.0,3.5774112910960714
2026-08-21T00:30:43.494043,0.0,0.5733629941375131,0.0,0.8193014567017846,-1.1165079627892645,0.0,3.741825790713256
2026-08-21T00:30:43.502376,0.0,0.5733346773442192,0.0,0.8193212726120322,-1.1856845753187655,0.0,3.9106186684956805
2026-08-21T00:30:43.510709,0.0,0.5733037275625532,0.0,0.8193429294031175,-1.2566741467381526,0.0,4.083725526223515
2026-08-21T00:30:43.519042,0.0,0.5732700038400038,0.0,0.8193665252481833,-1.3294531501443945,0.0,4.261081956170019
2026-08-21T00:30:43.527375,0.0,0.5732333641377357,0.0,0.8193921590052801,-1.4039980764380133,0.0,4.442623540935307
2026-08-21T00:30:43.535708,0.0,0.5731936656107806,0.0,0.819419930013712,-1.4802854354549242,0.0,4.628285853296697
2026-08-21T00:30:43.544041,0.0,0.5731507648946489,0.0,0.819449937885579,-1.5582917570313968,0.0,4.818004456077294
2026-08-21T00:30:43.552374,0.0,0.5731045183980796,0.0,0.8194822822927325,-1.6379935919975521,0.0,5.011714902034459
2026-08-21T00:30:43.560707,0.0,0.5730547826016194,0.0,0.8195170627494041,-1.7193675130949237,0.0,5.209352733769735
2026-08-21T00:30:43.569040,0.0,0.573001414361691,0.0,0.8195543783907823,-1.8023901158137425,0.0,5.410853483661783
2026-08-21T00:30:43.577373,0.0,0.5729442712197781,0.0,0.8195943277478422,-1.8870380191457399,0.0,5.616152673823814
2026-08-21T00:30:43.585706,0.0,0.5728832117163262,0.0,0.8196370085187632,-1.9732878662484186,0.0,5.825185816086948
2026-08-21T00:30:43.594039,0.0,0.5728180957089306,0.0,0.8196825173372886,-2.061116325016899,0.0,6.037888412010894
2026-08-21T00:30:43.602372,0.0,0.5727487846943476,0.0,0.8197309495384129,-2.150500088559625,0.0,6.254195952923274
2026-08-21T00:30:43.610705,0.0,0.5726751421338419,0.0,0.8197823989218018,-2.2414158755743965,0.0,6.474043919988835
2026-08-21T00:30:43.619038,0.0,0.5725970337813531,0.0,0.8198369575133803,-2.3338404306213962,0.0,6.697367784309777
2026-08-21T00:30:43.627371,0.0,0.5725143280139368,0.0,0.8198947153255415,-2.4277505242900856,0.0,6.924103007058292
