time,rocket.pitch_pid_kp,rocket.pitch_pid_ki,rocket.pitch_pid_kd
2026-05-06T20:26:45.861660,1.1,0.8,3.8
2026-05-06T20:26:45.869993,1.1,0.8,3.8
2026-05-06T20:26:45.878326,1.1,0.8,3.8
2026-05-06T20:26:45.886659,1.1,0.8,3.8
2026-05-06T20:26:45.894992,1.1,0.8,3.8
2026-05-06T20:26:45.903325,1.1,0.8,3.8
2026-05-06T20:26:45.911658,1.1,0.8,3.8
2026-05-06T20:26:45.919991,1.1,0.8,3.8
2026-05-06T20:26:45.928324,1.1,0.8,3.8
2026-05-06T20:26:45.936657,1.1,0.8,3.8
2026-05-06T20:26:45.944990,1.1,0.8,3.8
2026-05-06T20:26:45.953323,1.1,0.8,3.8
2026-05-06T20:26:45.961656,1.1,0.8,3.8
2026-05-06T20:26:45.969989,1.1,0.8,3.8
2026-05-06T20:26:45.978322,1.1,0.8,3.8
2026-05-06T20:26:45.986655,1.1,0.8,3.8
2026-05-06T20:26:45.994988,1.1,0.8,3.8
2026-05-06T20:26:46.003321,1.1,0.8,3.8
2026-05-06T20:26:46.011654,1.1,0.8,3.8
2026-05-06T20:26:46.019987,1.1,0.8,3.8
2026-05-06T20:26:46.028320,1.1,0.8,3.8
2026-05-06T20:26:46.036653,1.1,0.8,3.8
2026-05-06T20:26:46.044986,1.1,0.8,3.8
2026-05-06T20:26:46.053319,1.1,0.8,3.8
2026-05-06T20:26:46.061652,1.1,0.8,3.8
2026-05-06T20:26:46.069985,1.1,0.8,3.8
2026-05-06T20:26:46.078318,1.1,0.8,3.8
2026-05-06T20:26:46.086651,1.1,0.8,3.8
2026-05-06T20:26:46.094984,1.1,0.8,3.8
2026-05-06T20:26:46.103317,1.1,0.8,3.8
2026-05-06T20:26:46.111650,1.1,0.8,3.8
2026-05-06T20:26:46.119983,1.1,0.8,3.8
2026-05-06T20:26:46.128316,1.1,0.8,3.8
2026-05-06T20:26:46.136649,1.1,0.8,3.8
2026-05-06T20:26:46.144982,1.1,0.8,3.8
2026-05-06T20:26:46.153315,1.1,0.8,3.8
2026-05-06T20:26:46.161648,1.1,0.8,3.8
2026-05-06T20:26:46.169981,1.1,0.8,3.8
2026-05-06T20:26:46.178314,1.1,0.8,3.8
2026-05-06T20:26:46.186647,1.1,0.8,3.8
2026-05-06T20:26:46.194980,1.1,0.8,3.8
2026-05-06T20:26:46.203313,1.1,0.8,3.8
2026-05-06T20:26:46.211646,1.1,0.8,3.8
2026-05-06T20:26:46.219979,1.1,0.8,3.8
