time,drone.world_pos_q0,drone.world_pos_q1,drone.world_pos_q2,drone.world_pos_q3,drone.world_pos_x,drone.world_pos_y,drone.world_pos_z
2026-08-21T00:30:40.836137,0.000031062276802797184,0.0000776935676831242,-2.8655492688571007e-7,0.9999999964993813,-0.000320175545491751,6.159258690004984e-7,1.938463085873942
2026-08-21T00:30:40.846136,0.00003958994419101537,0.00006588332574933168,-9.154767475021369e-7,0.999999997045593,-0.00041852018006321024,7.35012612146902e-7,1.9291596664242856
2026-08-21T00:30:40.856135,0.00004467146912391914,0.00003658699339765246,-1.814251691587341e-6,0.9999999983312801,-0.0005348949427424948,7.155821148140025e-7,1.9194346551768133
2026-08-21T00:30:40.866134,0.00004394081754219486,-9.671301842985588e-6,-2.998943291425244e-6,0.9999999989833385,-0.0006706558171796524,4.816219255432072e-7,1.9093286418212556
2026-08-21T00:30:40.876133,0.000036584108983287815,-0.0000667738755327755,-4.46698506082974e-6,0.9999999970914493,-0.0008271561417240496,7.949426621337535e-9,1.8988794523548356
2026-08-21T00:30:40.886132,0.00003123453360096897,-0.0001246802770889592,-6.008786292426916e-6,0.9999999917215635,-0.0010057137545996027,-4.563782484419794e-7,1.8881218793995103
2026-08-21T00:30:40.896131,0.00003416821120312964,-0.00017335573097106155,-7.437576422528078e-6,0.999999984362503,-0.0012075666209807642,-7.308411147339714e-7,1.8770880538501271
2026-08-21T00:30:40.906130,0.000037158537439245816,-0.0002096961901405434,-8.838638119447762e-6,0.9999999772843144,-0.0014337982286062396,-1.0534469748479747e-6,1.8658079908382923
2026-08-21T00:30:40.916129,0.0000316556163129051,-0.00024196301021101133,-0.000010258235556775707,0.9999999701732958,-0.0016852788608619665,-1.6719515389920408e-6,1.8543094991139861
2026-08-21T00:30:40.926128,0.000013432158462897868,-0.000271509657743334,-0.00001171045306066687,0.9999999629824735,-0.001962881354731171,-2.698717744467085e-6,1.8426182350818803
2026-08-21T00:30:40.936127,-6.269655480259496e-6,-0.00029655649389647635,-0.000012970721283709757,0.999999955923348,-0.0022674372094285836,-3.790006791990284e-6,1.830757604773755
2026-08-21T00:30:40.946126,-0.000014059204763083302,-0.0003183393131248275,-0.000013818253307050247,0.999999949135737,-0.0025996777021500845,-4.537570042537317e-6,1.8187491691476725
2026-08-21T00:30:40.956125,-0.00001874528365183335,-0.00034309521202525713,-0.000014437021659952519,0.9999999408629295,-0.0029602174603011516,-5.175178445210488e-6,1.8066127678073374
2026-08-21T00:30:40.966124,-0.000033664494782189424,-0.0003704969912809964,-0.000015077622266970575,0.9999999306856711,-0.003349696021346554,-6.068275545178205e-6,1.7943665976705478
2026-08-21T00:30:40.976123,-0.00005867400028482071,-0.0003961473899234238,-0.000015727303724029675,0.9999999196886263,-0.0037687545829432002,-7.185989715118464e-6,1.782027363553377
2026-08-21T00:30:40.986122,-0.00009342420466590143,-0.00041868316442517344,-0.000016299696651472665,0.9999999078553188,-0.004217940828131923,-8.473240798943678e-6,1.7696100333234102
2026-08-21T00:30:40.996121,-0.00012935452750353695,-0.0004374894066332801,-0.000016587794807335102,0.9999998957976297,-0.004697748040383712,-9.625460646993388e-6,1.7571283333779477
2026-08-21T00:30:41.006120,-0.00016609516653428907,-0.0004574750581241526,-0.000016558407295235583,0.999999881427386,-0.005208562579108329,-0.000010563974469553217,1.744594800613294
2026-08-21T00:30:41.016119,-0.0002035463779770018,-0.0004821620735872304,-0.00001624334197814707,0.9999998629123709,-0.005750759535359607,-0.000011213780707679434,1.732021085688225
2026-08-21T00:30:41.026118,-0.00023022108853362907,-0.0005120336692275406,-0.000015458719630663406,0.9999998422903875,-0.006324715898365278,-0.000011178357537477323,1.7194176038230158
2026-08-21T00:30:41.036117,-0.00024354126771291337,-0.0005479311259406098,-0.000014201239262535801,0.9999998201287124,-0.00693079048776188,-0.000010330433502249023,1.706794010190999
2026-08-21T00:30:41.046116,-0.0002483869725681304,-0.0005803400715897769,-0.000012615612523361383,0.9999998006750599,-0.007569437363415208,-8.776983850230557e-6,1.6941590062232135
2026-08-21T00:30:41.049449,-0.0002485222424465537,-0.0005901367582018532,-0.00001204118896482839,0.9999997949151348,-0.007789615653691612,-8.11089881114032e-6,1.6899461757025407
