timestamp_utc,time_s,range_m,inner_deg,middle_deg,outer_deg
1969-07-20T20:12:45.957125Z,172.793000,,57.5573730,0.7141113,-0.5822754
1969-07-20T20:12:47.164125Z,174.000000,4134.011544,57.9199219,0.2746582,-0.5932617
1969-07-20T20:12:47.895125Z,174.731000,,58.3593750,0.3295898,-0.4724121
1969-07-20T20:12:49.164125Z,176.000000,4020.549744,56.9531250,1.2963867,-0.2746582
1969-07-20T20:12:49.895125Z,176.731000,,56.5026855,1.5930176,-0.1318359
1969-07-20T20:12:51.895125Z,178.731000,,55.9643555,1.0107422,0.0769043
1969-07-20T20:12:53.164125Z,180.000000,3814.998720,56.0961914,0.5053711,0.1428223
1969-07-20T20:12:53.937125Z,180.773000,,56.6674905,0.0988770,0.2087402
1969-07-20T20:12:55.164125Z,182.000000,3755.800464,56.7553711,1.4062500,0.3186035
1969-07-20T20:12:55.887125Z,182.723000,,56.6784668,1.7358398,0.3845215
1969-07-20T20:12:57.164125Z,184.000000,3657.136704,56.4477539,2.6916504,0.4943848
1969-07-20T20:12:57.895125Z,184.731000,,56.3598633,1.7578125,0.5053711
1969-07-20T20:12:59.164125Z,186.000000,3576.562824,56.5686035,0.7360840,0.5163574
1969-07-20T20:12:59.895125Z,186.731000,,56.5026855,-0.0549316,0.5053711
1969-07-20T20:13:01.164125Z,188.000000,3486.119520,56.9750977,0.6701660,0.5383301
1969-07-20T20:13:01.887125Z,188.723000,,56.7224121,1.1096191,0.5712891
1969-07-20T20:13:03.164125Z,190.000000,3421.989600,56.8212891,2.0324707,0.5932617
1969-07-20T20:13:03.895125Z,190.731000,,56.4697266,2.2631836,0.6042480
1969-07-20T20:13:05.164125Z,192.000000,3339.769800,57.1179199,1.7138672,0.5493164
1969-07-20T20:13:05.895125Z,192.731000,,57.0959473,1.3073730,0.5053711
1969-07-20T20:13:07.164125Z,194.000000,3231.239664,57.3815918,0.4174805,0.4284668
1969-07-20T20:13:07.895125Z,194.731000,,56.7663574,0.5603027,0.3845215
1969-07-20T20:13:09.164125Z,196.000000,3152.308656,56.2280273,0.1977539,0.3295898
1969-07-20T20:13:09.926125Z,196.762000,,55.7446289,0.4064941,0.2526855
1969-07-20T20:13:11.164125Z,198.000000,3043.988832,55.6677246,0.0109863,0.1647949
1969-07-20T20:13:11.895125Z,198.731000,,55.7446289,0.2526855,0.0769043
1969-07-20T20:13:13.164125Z,200.000000,2969.779176,56.1071777,-0.0549316,-0.0329590
1969-07-20T20:13:14.055125Z,200.891000,,56.5466309,0.2307129,-0.1757813
1969-07-20T20:13:15.164125Z,202.000000,2887.559376,56.9421387,0.1757813,-0.2746582
1969-07-20T20:13:15.926125Z,202.762000,,57.1728516,0.7690430,-0.3845215
1969-07-20T20:13:17.164125Z,204.000000,2795.473200,56.6125488,1.9116211,-0.2746582
1969-07-20T20:13:17.957125Z,204.793000,,56.6125488,2.5708008,-0.1318359
1969-07-20T20:13:19.164125Z,206.000000,2721.476904,55.8984375,2.5598145,0.0878906
1969-07-20T20:13:19.895125Z,206.731000,,56.1730957,2.0104980,0.1977539
1969-07-20T20:13:21.164125Z,208.000000,2624.456016,55.9753418,1.5490723,0.2966309
1969-07-20T20:13:21.895125Z,208.731000,,56.2390137,1.0437012,0.4174805
1969-07-20T20:13:23.164125Z,210.000000,2545.525008,56.0522461,1.0986328,0.4833984
1969-07-20T20:13:23.895125Z,210.731000,,56.1950684,0.8569336,0.5932617
1969-07-20T20:13:25.164125Z,212.000000,2445.218376,55.9863281,1.1315918,0.6701660
1969-07-20T20:13:25.895125Z,212.731000,,55.8544922,0.9777832,0.7250977
1969-07-20T20:13:27.164125Z,214.000000,2376.153744,55.6347656,1.1315018,0.8239746
1969-07-20T20:13:27.895125Z,214.731000,,55.2502441,1.0656738,0.8349609
1969-07-20T20:13:29.164125Z,216.000000,2287.356360,55.0964355,0.9448242,0.9118652
1969-07-20T20:13:29.895125Z,216.731000,,54.6240234,0.9338379,0.9118652
1969-07-20T20:13:31.164125Z,218.000000,2210.068224,55.0305176,0.5493164,0.9448242
1969-07-20T20:13:41.164125Z,228.000000,1993.007952,46.3623047,1.7028809,0.8898926
1969-07-20T20:13:41.754125Z,228.590000,,46.3952637,2.2302246,0.8569336
1969-07-20T20:13:43.164125Z,230.000000,1882.834944,45.3955078,2.0544434,0.7910156
1969-07-20T20:13:43.895125Z,230.731000,,45.7690430,1.5270996,0.7141113
1969-07-20T20:13:45.164125Z,232.000000,1815.413184,45.3186035,0.7360840,0.5383301
1969-07-20T20:13:45.937125Z,232.773000,,45.6481934,0.3515625,0.4614258
1969-07-20T20:13:47.164125Z,234.000000,1723.327008,44.3957520,1.1875098,0.3186035
1969-07-20T20:13:47.965125Z,234.801000,,44.0112305,1.5930176,0.2746582
1969-07-20T20:13:49.164125Z,236.000000,1644.396000,43.3959961,2.4389648,0.1538086
1969-07-20T20:13:49.937125Z,236.773000,,43.4399414,2.0874023,0.0219727
1969-07-20T20:13:51.164125Z,238.000000,1580.266080,44.1101074,1.8566895,-0.2087402
1969-07-20T20:13:51.926125Z,238.762000,,43.9782715,1.4062500,-0.2307129
1969-07-20T20:13:53.164125Z,240.000000,1517.779032,44.3078613,1.1096191,-0.1318359
1969-07-20T20:13:53.887125Z,240.723000,,43.8959961,1.1865234,-0.0439453
1969-07-20T20:13:55.164125Z,242.000000,1450.357272,42.6269531,1.7797852,0.0988770
1969-07-20T20:13:55.957125Z,242.793000,,42.4291992,3.2629395,0.2526855
1969-07-20T20:13:57.164125Z,244.000000,1391.159016,43.2531738,3.3618164,0.3076172
1969-07-20T20:13:57.957125Z,244.793000,,43.0773926,1.8676758,0.2636719
1969-07-20T20:13:59.164125Z,246.000000,1323.740304,42.7697754,-0.2307129,0.2856445
1969-07-20T20:13:59.945125Z,246.781000,,42.7697754,-0.6481934,0.2856445
1969-07-20T20:14:01.164125Z,248.000000,1247.857296,39.7595215,-0.1647949,0.3625488
1969-07-20T20:14:02.027125Z,248.863000,,39.6057123,-0.4504395,0.4504395
1969-07-20T20:14:03.164125Z,250.000000,1175.622744,38.9245605,-0.2746582,0.4394531
1969-07-20T20:14:04.086125Z,250.922000,,39.0563965,-0.5053711,0.5603027
1969-07-20T20:14:05.164125Z,252.000000,1121.718864,38.5620117,-0.6701660,0.5163574
1969-07-20T20:14:06.137125Z,252.973000,,38.2983398,-0.5822754,0.5493164
1969-07-20T20:14:07.164125Z,254.000000,1080.369696,37.8369141,-0.6591797,0.6262207
1969-07-20T20:14:07.984125Z,254.820000,,36.7712402,-0.0329590,0.5603027
1969-07-20T20:14:09.164125Z,256.000000,996.503976,36.1010742,0.3845215,0.6921387
1969-07-20T20:14:10.145125Z,256.981000,,35.1123047,0.8129883,0.6811523
1969-07-20T20:14:11.164125Z,258.000000,958.684392,35.4099355,0.7690430,0.6481934
1969-07-20T20:14:12.027125Z,258.863000,,35.9044434,0.3295898,0.6921387
1969-07-20T20:14:13.164125Z,260.000000,929.085264,36.0900878,0.3295898,0.5603027
1969-07-20T20:14:14.164125Z,261.000000,,36.8811035,0.0549316,0.5712891
1969-07-20T20:14:15.164125Z,262.000000,873.175800,36.2548828,0.6042480,0.5712891
1969-07-20T20:14:16.047125Z,262.883000,,36.0131836,1.3293457,0.5053711
1969-07-20T20:14:17.164125Z,264.000000,828.775584,35.4968262,1.6699219,0.6701660
1969-07-20T20:14:18.055125Z,264.891000,,34.7937012,2.1423340,0.7250977
1969-07-20T20:14:19.164125Z,266.000000,790.956000,34.5300293,2.0764160,0.7580566
1969-07-20T20:14:20.066125Z,266.902000,,33.7609863,1.8017578,0.8459473
1969-07-20T20:14:21.875125Z,268.711000,,33.3984375,0.5493164,0.9008789
1969-07-20T20:14:23.164125Z,270.000000,706.102728,32.5085449,-0.6811523,1.5051270
1969-07-20T20:14:23.984125Z,270.820000,,32.5085449,-1.4941406,1.8566895
1969-07-20T20:14:25.164125Z,272.000000,663.677616,32.2998047,-1.3293457,2.5158691
1969-07-20T20:14:26.164125Z,273.000000,,32.4865723,-0.4614258,3.0102539
1969-07-20T20:14:27.164125Z,274.000000,635.724408,32.8820801,-0.0769043,3.2299805
1969-07-20T20:14:28.027125Z,274.863000,,32.4316406,0.1208496,3.3618164
1969-07-20T20:14:29.164125Z,276.000000,597.572592,32.1020508,0.1428223,3.4606934
1969-07-20T20:14:30.176125Z,277.012000,,30.9045410,-0.5273438,3.2189941
1969-07-20T20:14:31.164125Z,278.000000,565.013856,29.4104004,-0.7470703,3.0432129
1969-07-20T20:14:32.277125Z,279.113000,,28.9940430,-0.6701660,2.7905273
1969-07-20T20:14:33.164125Z,280.000000,533.113488,28.0371094,-0.5163574,2.5598145
1969-07-20T20:14:33.965125Z,280.801000,,27.7954102,0.0439453,2.4609375
1969-07-20T20:14:35.164125Z,282.000000,507.461520,27.8723145,0.3295898,2.1862793
1969-07-20T20:14:35.957125Z,282.793000,,27.4328613,0.4174805,1.9775391
1969-07-20T20:14:37.176125Z,284.012000,479.505264,27.6416016,0.7470703,1.7578125
1969-07-20T20:14:37.957125Z,284.793000,,27.7075195,0.5932617,1.5380859
1969-07-20T20:14:39.176125Z,286.012000,447.934080,27.4548340,0.6921387,1.1645508
1969-07-20T20:14:40.055125Z,286.891000,,27.9272461,0.8020020,1.2084961
1969-07-20T20:14:41.176125Z,288.012000,427.213776,28.8171387,-0.0109863,1.1975098
1969-07-20T20:14:42.156125Z,288.992000,,30.7177734,0.2307129,1.1975098
1969-07-20T20:14:44.387125Z,291.223000,,37.0153809,0.2307129,1.3403320
1969-07-20T20:14:45.207125Z,292.043000,374.593104,25.4003906,0.2856445,1.3623047
1969-07-20T20:14:46.437125Z,293.273000,,24.5214844,0.1098633,1.5380859
1969-07-20T20:14:47.207125Z,294.043000,354.201984,24.6972656,0.3955078,1.4831543
1969-07-20T20:14:48.047125Z,294.883000,,25.1477051,0.8459473,1.4721680
1969-07-20T20:14:49.207125Z,296.043000,333.155544,25.8947754,1.0217285,1.6479492
1969-07-20T20:14:50.066125Z,296.902000,,26.2353516,1.1535645,1.5930176
1969-07-20T20:14:51.215125Z,298.051000,313.093608,26.0925293,0.8459473,1.5161133
1969-07-20T20:14:52.098125Z,298.934000,,25.5981445,0.4833984,1.6259766
1969-07-20T20:14:53.215125Z,300.051000,298.292520,24.7302246,0.7250977,1.5380859
1969-07-20T20:14:53.977125Z,300.813000,,24.2248535,0.9777832,1.4611816
1969-07-20T20:14:55.215125Z,302.051000,283.494480,23.1811523,0.9997559,1.5710449
1969-07-20T20:14:53.977125Z,300.813000,,24.2248535,0.9777832,1.4611816
1969-07-20T20:14:57.215125Z,304.051000,179.896008,21.8078613,1.2084961,1.3952637
1969-07-20T20:14:57.824125Z,304.660000,,21.4892578,1.0217285,1.4282227
1969-07-20T20:14:59.215125Z,306.051000,244.358160,21.0278320,0.8789063,1.3183594
1969-07-20T20:14:59.977125Z,306.813000,,20.8630371,0.5712891,1.1975098
1969-07-20T20:15:01.215125Z,308.051000,231.202992,20.2038574,0.1208496,1.1865234
1969-07-20T20:15:01.977125Z,308.813000,,19.8083496,0.2197266,1.1206055
1969-07-20T20:15:03.215125Z,310.051000,215.088216,19.3139648,0.2197266,0.9228516
1969-07-20T20:15:03.977125Z,310.813000,,18.9624023,0.0878906,1.0986328
1969-07-20T20:15:05.215125Z,312.051000,201.933048,18.6987306,0.0549316,1.3293457
1969-07-20T20:15:05.977125Z,312.813000,,18.5668945,-0.0878906,1.3952637
1969-07-20T20:15:07.215125Z,314.051000,190.749936,18.1054687,-0.3515625,1.6918945
