time,ore_sat.world_pos_q0,ore_sat.world_pos_q1,ore_sat.world_pos_q2,ore_sat.world_pos_q3,ore_sat.world_pos_x,ore_sat.world_pos_y,ore_sat.world_pos_z
2026-08-20T19:15:40.156858,0.06928269878274812,0.06930763327755915,0.06780176674451095,0.9928742518794439,-4301235.081522698,-3610916.6040535006,3795167.6611464876
2026-08-20T19:15:40.165191,0.07251193009508873,0.07254290206288895,0.07089208669046748,0.9921964822548255,-4301193.996463641,-3610965.55023921,3795167.6537199863
2026-08-20T19:15:40.173524,0.07573392271237066,0.07577170495298023,0.07396916163750052,0.9914895787681081,-4301152.911022358,-3611014.496104028,3795167.645955917
2026-08-20T19:15:40.181857,0.07894856898721787,0.07899397737047657,0.07703291359449244,0.990753756095432,-4301111.825198852,-3611063.4416479506,3795167.637854279
2026-08-20T19:15:40.190190,0.08215576244760185,0.08220965586508443,0.08008326607700741,0.989989229069507,-4301070.738993129,-3611112.386870973,3795167.629415073
2026-08-20T19:15:40.198523,0.08535539779336782,0.08541867810787988,0.08312014409919918,0.9891962126609497,-4301029.65240519,-3611161.3317730906,3795167.620638299
2026-08-20T19:15:40.206856,0.08854737089267908,0.08862098288556722,0.08614347416565869,0.9883749219598102,-4300988.565435041,-3611210.2763543,3795167.6115239565
2026-08-20T19:15:40.215189,0.09173157877838145,0.09181651009469084,0.08915318426320351,0.9875255721572929,-4300947.478082684,-3611259.2206145963,3795167.6020720457
2026-08-20T19:15:40.223522,0.09490791964428848,0.09500520073580149,0.09214920385261038,0.9866483785276665,-4300906.390348123,-3611308.164553975,3795167.5922825667
2026-08-20T19:15:40.231855,0.09807629284138919,0.09818699690757803,0.09513146386029282,0.9857435564103673,-4300865.302231363,-3611357.108172432,3795167.5821555196
2026-08-20T19:15:40.240188,0.10123659887397951,0.10136184180090592,0.09809989666992505,0.9848113211922918,-4300824.213732406,-3611406.051469963,3795167.5716909044
2026-08-20T19:15:40.248521,0.10438873939571847,0.1045296796929134,0.10105443611401413,0.9838518882902795,-4300783.124851256,-3611454.9944465635,3795167.5608887207
2026-08-20T19:15:40.256854,0.10753261720561093,0.10769045594096693,0.1039950174654219,0.9828654731337879,-4300742.035587917,-3611503.9371022293,3795167.549748969
2026-08-20T19:15:40.265187,0.11066813624391784,0.11084411697662666,0.1069215774288382,0.9818522911477565,-4300700.945942393,-3611552.879436956,3795167.538271649
2026-08-20T19:15:40.273520,0.113795201587995,0.11399061029956285,0.10983405413220666,0.9808125577356585,-4300659.855914686,-3611601.8214507387,3795167.5264567607
2026-08-20T19:15:40.281853,0.11691371944806239,0.11712988447143513,0.11273238711810535,0.9797464882627454,-4300618.765504802,-3611650.763143574,3795167.514304304
2026-08-20T19:15:40.290186,0.12002359716290442,0.12026188910973475,0.11561651733508288,0.9786542980394769,-4300577.674712743,-3611699.7045154567,3795167.5018142792
2026-08-20T19:15:40.298519,0.1231247431955031,0.12338657488159163,0.11848638712895239,0.9775362023051417,-4300536.583538513,-3611748.645566383,3795167.4889866863
2026-08-20T19:15:40.306852,0.12621706712860487,0.12650389349754698,0.12134194023404417,0.9763924162116645,-4300495.491982115,-3611797.5862963484,3795167.4758215253
2026-08-20T19:15:40.315185,0.12930047966022262,0.12961379770529244,0.12418312176441883,0.9752231548076017,-4300454.400043555,-3611846.5267053484,3795167.4623187957
2026-08-20T19:15:40.323518,0.13237489259907403,0.13271624128337725,0.1270098782050425,0.9740286330223237,-4300413.307722834,-3611895.466793379,3795167.448478498
2026-08-20T19:15:40.331851,0.13544021885995736,0.13581117903488377,0.12982215740292516,0.9728090656503833,-4300372.215019956,-3611944.4065604354,3795167.434300632
2026-08-20T19:15:40.340184,0.13849637245906607,0.1388985667810733,0.13261990855822406,0.9715646673360717,-4300331.121934926,-3611993.3460065136,3795167.4197851983
2026-08-20T19:15:40.348517,0.14154326850924345,0.14197836135500233,0.13540308221531325,0.970295652558158,-4300290.028467747,-3612042.285131609,3795167.4049321963
2026-08-20T19:15:40.356850,0.14458082321517826,0.145050520595111,0.13817163025382082,0.9690022356148152,-4300248.934618423,-3612091.2239357177,3795167.3897416256
2026-08-20T19:15:40.365183,0.14760895386854297,0.1481150033387841,0.14092550587963523,0.9676846306087307,-4300207.840386957,-3612140.162418835,3795167.374213487
2026-08-20T19:15:40.373516,0.1506275788430751,0.15117176941588595,0.143664663615882,0.9663430514323983,-4300166.745773353,-3612189.1005809563,3795167.35834778
2026-08-20T19:15:40.381849,0.15363661758960392,0.15422077964227063,0.14638905929387264,0.9649777117535986,-4300125.650777615,-3612238.038422078,3795167.342144505
2026-08-20T19:15:40.390182,0.15663599063102226,0.15726199581326714,0.14909865004402612,0.9635888250010557,-4300084.555399746,-3612286.975942195,3795167.325603662
2026-08-20T19:15:40.398515,0.1596256195572062,0.16029538069714225,0.15179339428676558,0.9621766043502818,-4300043.4596397495,-3612335.913141303,3795167.3087252504
2026-08-20T19:15:40.406848,0.16260542701988198,0.1633208980285404,0.15447325172339046,0.9607412627095993,-4300002.36349763,-3612384.8500193986,3795167.2915092707
2026-08-20T19:15:40.415181,0.1655753367274431,0.16633851250190257,0.15713818332692603,0.9592830127063449,-4299961.26697339,-3612433.7865764764,3795167.273955723
2026-08-20T19:15:40.423514,0.16853527343971744,0.1693481897648648,0.15978815133295143,0.9578020666732563,-4299920.170067035,-3612482.7228125324,3795167.256064607
2026-08-20T19:15:40.431847,0.17148516296268593,0.17234989641163698,0.16242311923040736,0.9562986366350336,-4299879.072778567,-3612531.6587275625,3795167.2378359227
2026-08-20T19:15:40.440180,0.17442493214315402,0.1753435999763634,0.1650430517523851,0.9547729342950838,-4299837.97510799,-3612580.594321562,3795167.21926967
2026-08-20T19:15:40.448513,0.17735450886337717,0.17832926892646547,0.16764791486689762,0.9532251710224423,-4299796.877055308,-3612629.5295945266,3795167.2003658493
2026-08-20T19:15:40.456846,0.18027382203564063,0.18130687265596745,0.17023767576763424,0.9516555578388689,-4299755.778620524,-3612678.4645464523,3795167.1811244604
2026-08-20T19:15:40.465179,0.18318280159679606,0.18427638147880698,0.17281230286470062,0.9500643054061263,-4299714.679803642,-3612727.3991773343,3795167.1615455034
2026-08-20T19:15:40.473512,0.18608137850275436,0.1872377666221296,0.17537176577534386,0.9484516240134282,-4299673.580604667,-3612776.3334871684,3795167.1416289783
2026-08-20T19:15:40.481845,0.18896948472293737,0.1901910002195701,0.17791603531466585,0.9468177235650681,-4299632.4810236,-3612825.2674759505,3795167.121374885
2026-08-20T19:15:40.490178,0.19184705323468815,0.19313605530451977,0.18044508348632418,0.9451628135682179,-4299591.381060447,-3612874.201143676,3795167.1007832238
2026-08-20T19:15:40.498511,0.19471401801764213,0.19607290580338171,0.1829588834732232,0.943487103120904,-4299550.28071521,-3612923.1344903405,3795167.079853994
2026-08-20T19:15:40.506844,0.19757031404805903,0.1990015265288142,0.18545740962819562,0.9417908009001534,-4299509.179987894,-3612972.0675159395,3795167.058587196
2026-08-20T19:15:40.515177,0.2004158772931177,0.20192189317296358,0.18794063746467615,0.940074115150315,-4299468.078878502,-3613021.000220469,3795167.0369828297
2026-08-20T19:15:40.523510,0.20325064470517354,0.20483398230068647,0.1904085436473679,0.9383372536715475,-4299426.977387038,-3613069.932603925,3795167.0150408954
2026-08-20T19:15:40.531843,0.20607455421598125,0.2077377713427636,0.19286110598290326,0.9365804238084829,-4299385.875513505,-3613118.864666302,3795166.992761393
2026-08-20T19:15:40.540176,0.2088875447308825,0.2106332385891048,0.19529830341050008,0.9348038324390572,-4299344.7732579075,-3613167.7964075967,3795166.9701443226
2026-08-20T19:15:40.548509,0.2116895561229598,0.2135203631819461,0.19772011599261383,0.9330076859635088,-4299303.670620248,-3613216.727827804,3795166.947189684
2026-08-20T19:15:40.556842,0.21448052922715824,0.21639912510904036,0.20012652490558738,0.9311921902935469,-4299262.567600531,-3613265.6589269205,3795166.923897477
2026-08-20T19:15:40.565175,0.21726040583437542,0.21926950519684182,0.20251751243029964,0.9293575508416867,-4299221.46419876,-3613314.589704941,3795166.9002677016
2026-08-20T19:15:40.573508,0.22002912868552077,0.22213148510368497,0.20489306194281312,0.9275039725107492,-4299180.360414938,-3613363.5201618616,3795166.876300358
2026-08-20T19:15:40.581841,0.22278664146554522,0.2249850473129589,0.2072531579050227,0.9256316596835287,-4299139.25624907,-3613412.4502976774,3795166.8519954467
2026-08-20T19:15:40.590174,0.2255328887974422,0.22783017512627804,0.2095977858553055,0.9237408162126234,-4299098.151701159,-3613461.380112385,3795166.827352967
2026-08-20T19:15:40.598507,0.2282678162362208,0.2306668526566491,0.21192693239917365,0.9218316454104291,-4299057.046771208,-3613510.3096059794,3795166.8023729194
2026-08-20T19:15:40.606840,0.2309913702628522,0.23349506482163632,0.21424058519993072,0.9199043500392968,-4299015.941459221,-3613559.238778456,3795166.7770553036
2026-08-20T19:15:40.615173,0.2337034982781904,0.23631479733652436,0.2165387329693326,0.9179591323018521,-4298974.8357652025,-3613608.167629811,3795166.7514001196
