time,ore_sat.world_accel_αx,ore_sat.world_accel_αy,ore_sat.world_accel_αz,ore_sat.world_accel_x,ore_sat.world_accel_y,ore_sat.world_accel_z
2026-08-20T19:15:40.331851,-0.18730411375806919,-0.09287572785896236,-0.3083955140927676,5.503051321578996,4.6220252761355445,-4.860982656257927
2026-08-20T19:15:40.340184,-0.18873614938276287,-0.09203816332854409,-0.30777291527333245,5.502998732810434,4.622087898333411,-4.860982635391469
2026-08-20T19:15:40.348517,-0.1901689734135839,-0.09121281797006947,-0.3071359769830828,5.502946143554049,4.6221505201213136,-4.860982614093023
2026-08-20T19:15:40.356850,-0.19160241038470502,-0.0903997460722068,-0.30648479116168525,5.502893553809833,4.622213141499243,-4.860982592362574
2026-08-20T19:15:40.365183,-0.19303628581717902,-0.08959899993619037,-0.3058194508806022,5.502840963577786,4.622275762467188,-4.860982570200121
2026-08-20T19:15:40.373516,-0.19447042623633495,-0.08881062988665327,-0.3051400503165134,5.50278837285792,4.62233838302515,-4.86098254760567
2026-08-20T19:15:40.381849,-0.19590465918875988,-0.08803468428270415,-0.3044466847248473,5.502735781650253,4.622401003173133,-4.860982524579235
2026-08-20T19:15:40.390182,-0.1973388132588707,-0.0872712095292421,-0.3037394504134322,5.502683189954783,4.622463622911127,-4.8609825011208025
2026-08-20T19:15:40.398515,-0.19877271808507602,-0.08652025008850264,-0.30301844471626477,5.50263059777149,4.622526242239104,-4.860982477230359
2026-08-20T19:15:40.406848,-0.20020620437553063,-0.08578184849182995,-0.3022837659674071,5.5025780051004105,4.622588861157089,-4.86098245290793
2026-08-20T19:15:40.415181,-0.2016391039234866,-0.08505604535166886,-0.3015355134750107,5.502525411941534,4.622651479665059,-4.860982428153498
2026-08-20T19:15:40.423514,-0.20307124962224066,-0.08434287937377019,-0.3007737874954755,5.502472818294863,4.6227140977630095,-4.860982402967066
2026-08-20T19:15:40.431847,-0.2045024754796826,-0.08364238736960448,-0.2999986892077448,5.50242022416041,4.622776715450943,-4.860982377348641
2026-08-20T19:15:40.440180,-0.20593261663244564,-0.08295460426897766,-0.29921032068774245,5.502367629538174,4.622839332728846,-4.860982351298217
2026-08-20T19:15:40.448513,-0.20736150935966255,-0.08227956313284264,-0.2984087848829542,5.502315034428163,4.622901949596716,-4.860982324815794
2026-08-20T19:15:40.456846,-0.20878899109632948,-0.08161729516630196,-0.29759418558715783,5.502262438830373,4.622964566054545,-4.86098229790137
2026-08-20T19:15:40.465179,-0.2102149004462789,-0.08096782973179441,-0.2967666274153047,5.502209842744826,4.623027182102336,-4.860982270554955
2026-08-20T19:15:40.473512,-0.2116390771947681,-0.08033119436246165,-0.29592621577855766,5.5021572461715165,4.623089797740078,-4.860982242776543
2026-08-20T19:15:40.481845,-0.21306136232068115,-0.07970741477568705,-0.29507305685948726,5.502104649110449,4.623152412967766,-4.860982214566135
2026-08-20T19:15:40.490178,-0.21448159800835115,-0.07909651488680372,-0.29420725758742894,5.50205205156162,4.623215027785384,-4.860982185923721
2026-08-20T19:15:40.498511,-0.21589962765900433,-0.0784985168229633,-0.2933289256140083,5.501999453525063,4.623277642192956,-4.860982156849328
2026-08-20T19:15:40.506844,-0.2173152959018271,-0.07791344093716292,-0.29243816928883065,5.501946855000745,4.623340256190439,-4.860982127342921
2026-08-20T19:15:40.515177,-0.21872844860466262,-0.07734130582242255,-0.2915350976353451,5.501894255988688,4.623402869777847,-4.860982097404517
2026-08-20T19:15:40.523510,-0.2201389328843371,-0.07678212832610838,-0.29061982032688094,5.501841656488894,4.62346548295517,-4.860982067034114
2026-08-20T19:15:40.531843,-0.22154659711661973,-0.07623592356439719,-0.2896924476628614,5.501789056501377,4.62352809572241,-4.86098203623172
2026-08-20T19:15:40.540176,-0.2229512909458199,-0.07570270493687561,-0.28875309054519727,5.501736456026135,4.623590708079557,-4.860982004997329
2026-08-20T19:15:40.548509,-0.22435286529402404,-0.07518248414126917,-0.2878018604548614,5.501683855063166,4.623653320026598,-4.860981973330931
2026-08-20T19:15:40.556842,-0.22575117236997605,-0.07467527118829657,-0.28683886942864967,5.501631253612497,4.623715931563547,-4.860981941232551
2026-08-20T19:15:40.565175,-0.2271460656776041,-0.07418107441664364,-0.2858642300361277,5.501578651674093,4.623778542690371,-4.860981908702157
2026-08-20T19:15:40.573508,-0.22853740002419715,-0.07369990050805113,-0.2848780553567676,5.501526049248007,4.623841153407094,-4.860981875739781
2026-08-20T19:15:40.581841,-0.22992503152823507,-0.07323175450251283,-0.28388045895727654,5.50147344633421,4.62390376371369,-4.860981842345402
2026-08-20T19:15:40.590174,-0.2313088176268739,-0.07277663981357788,-0.28287155486911814,5.501420842932712,4.623966373610156,-4.860981808519026
2026-08-20T19:15:40.598507,-0.23268861708309285,-0.07233455824375273,-0.28185145756623137,5.50136823904353,4.624028983096499,-4.860981774260655
2026-08-20T19:15:40.606840,-0.23406428999250306,-0.07190550999999687,-0.28082028194294645,5.501315634666643,4.6240915921726895,-4.860981739570275
2026-08-20T19:15:40.615173,-0.23543569778982393,-0.0714894937093105,-0.279778143292101,5.501263029802098,4.624154200838758,-4.860981704447923
2026-08-20T19:15:40.623506,-0.23680270325502917,-0.07108650643440542,-0.27872515728335673,5.501210424449848,4.624216809094654,-4.860981668893546
2026-08-20T19:15:40.631839,-0.23816517051916727,-0.0706965436894566,-0.2776614399417228,5.501157818609937,4.624279416940406,-4.860981632907181
2026-08-20T19:15:40.640172,-0.23952296506985798,-0.07031959945593057,-0.27658710762627975,5.501105212282357,4.624342024375999,-4.860981596488821
2026-08-20T19:15:40.648505,-0.24087595375647128,-0.06995566619848359,-0.27550227700911445,5.501052605467107,4.624404631401423,-4.860981559638461
2026-08-20T19:15:40.656838,-0.24222400479498923,-0.06960473488092742,-0.2744070650544608,5.500999998164204,4.624467238016682,-4.860981522356108
2026-08-20T19:15:40.665171,-0.2435669877725566,-0.06926679498225628,-0.27330158899805085,5.500947390373635,4.6245298442217555,-4.8609814846417505
2026-08-20T19:15:40.673504,-0.24490477365172325,-0.06894183451273218,-0.272185966326678,5.500894782095429,4.62459245001666,-4.860981446495408
2026-08-20T19:15:40.681837,-0.24623723477438073,-0.06862984003002359,-0.27106031475797043,5.5008421733295725,4.624655055401371,-4.8609814079170635
2026-08-20T19:15:40.690170,-0.24756424486539955,-0.06833079665539216,-0.2699247522203811,5.500789564076065,4.624717660375885,-4.860981368906714
2026-08-20T19:15:40.698503,-0.24888567903596684,-0.068044688089925,-0.2687793968333895,5.500736954334935,4.624780264940207,-4.86098132946438
2026-08-20T19:15:40.706836,-0.2502014137866324,-0.06777149663080777,-0.2676243668879218,5.500684344106167,4.624842869094322,-4.86098128959004
2026-08-20T19:15:40.715169,-0.2515113270100629,-0.06751120318763268,-0.26645978082698635,5.500631733389772,4.624905472838227,-4.860981249283705
2026-08-20T19:15:40.723502,-0.25281529799351093,-0.06726378729874026,-0.2652857572265278,5.500579122185757,4.624968076171921,-4.860981208545375
2026-08-20T19:15:40.731835,-0.2541132074210013,-0.06702922714758874,-0.2641024147764998,5.500526510494114,4.625030679095389,-4.860981167375045
2026-08-20T19:15:40.740168,-0.2554049373752375,-0.06680749957914765,-0.2629098722621563,5.500473898314866,4.625093281608634,-4.860981125772719
2026-08-20T19:15:40.748501,-0.2566903713392346,-0.0665985801163122,-0.2617082485455649,5.500421285647996,4.625155883711637,-4.860981083738387
2026-08-20T19:15:40.756834,-0.2579693941976789,-0.06640244297633376,-0.26049766254733925,5.500368672493535,4.625218485404414,-4.860981041272066
2026-08-20T19:15:40.765167,-0.2592418922380214,-0.06621906108726325,-0.2592782332285947,5.500316058851473,4.625281086686949,-4.860980998373754
2026-08-20T19:15:40.773500,-0.26050775315130703,-0.06604840610440359,-0.25805007957312404,5.500263444721817,4.625343687559235,-4.860980955043442
2026-08-20T19:15:40.781833,-0.2617668660327427,-0.06589044842676732,-0.25681332056979794,5.50021083010456,4.625406288021259,-4.860980911281123
2026-08-20T19:15:40.790166,-0.26301912138201095,-0.0657451572135365,-0.25556807519518654,5.500158214999729,4.625468888073033,-4.86098086708682
2026-08-20T19:15:40.798499,-0.2642644111033288,-0.06561250040051969,-0.25431446239640537,5.500105599407303,4.625531487714531,-4.860980822460505
2026-08-20T19:15:40.806832,-0.2655026285052598,-0.0654924447166046,-0.2530526010741852,5.500052983327313,4.62559408694577,-4.860980777402205
2026-08-20T19:15:40.815165,-0.2667336683002784,-0.06538495570020159,-0.2517826100661638,5.500000366759738,4.625656685766722,-4.8609807319119
