time,ore_sat.bias_est_0,ore_sat.bias_est_1,ore_sat.bias_est_2
2026-08-21T00:30:39.158977,2.0133033508278313,2.012334121258074,1.9969037621600958
2026-08-21T00:30:39.167310,2.0126368592036386,2.011959881492632,1.9971851837071515
2026-08-21T00:30:39.175643,2.008593038861362,2.009511285310009,1.9982349502923542
2026-08-21T00:30:39.183976,2.009293831870818,2.0084327284285663,1.9974362611414456
2026-08-21T00:30:39.192309,2.0047797611593166,2.0060215501038035,1.998671711094187
2026-08-21T00:30:39.200642,2.0055532331941537,2.0060489588402564,1.9984059375630245
2026-08-21T00:30:39.208975,2.0051009975417395,2.0060135083869954,1.9987078292630027
2026-08-21T00:30:39.217308,2.004276340107533,2.005809057739521,1.9991037026766632
2026-08-21T00:30:39.225641,2.00908228715251,2.0068469929603237,1.9974321897573566
2026-08-21T00:30:39.233974,2.008158367532324,2.0066219398316263,1.9978050591385754
2026-08-21T00:30:39.242307,2.0071136161119445,2.0042984102599033,1.9972911651157599
2026-08-21T00:30:39.250640,2.007134596460551,2.004678023763289,1.9974941737168097
2026-08-21T00:30:39.258973,2.005601171610472,2.0050519651446206,1.9983476867676075
2026-08-21T00:30:39.267306,2.006351868074726,2.0050910242929016,1.998126688919755
2026-08-21T00:30:39.275639,2.003678323716303,2.0048138588011093,1.9991328886930346
2026-08-21T00:30:39.283972,2.002709028761226,2.0054095431087102,1.9998282610463634
2026-08-21T00:30:39.292305,2.0010746378934394,2.004856141783642,2.000318429992277
2026-08-21T00:30:39.300638,1.9997185801792756,2.0048226085227436,2.0008986243413522
2026-08-21T00:30:39.308971,2.0002524103217687,2.0042931657230216,2.0006201957424836
2026-08-21T00:30:39.317304,1.9999946535900934,2.0036702642894317,2.0005680291171615
2026-08-21T00:30:39.325637,2.0001627390720667,2.0036133675477172,2.0005708275587906
2026-08-21T00:30:39.333970,2.001020386455009,2.0033088945174327,2.000260273336885
2026-08-21T00:30:39.342303,2.0026801289344216,2.002408386698872,1.9994887822136813
2026-08-21T00:30:39.350636,2.005695809041713,2.0026094533203995,1.9986829796224945
2026-08-21T00:30:39.358969,2.0060856318295857,2.003187422253944,1.9987586037721317
2026-08-21T00:30:39.367302,2.006651150675054,2.003737885626422,1.998780006684424
2026-08-21T00:30:39.375635,2.005912474727937,2.003459948366325,1.9988843119367738
2026-08-21T00:30:39.383968,2.005897889538327,2.0032002207796147,1.998809612394188
2026-08-21T00:30:39.392301,2.004961133418912,2.002967279348081,1.9989721505168487
2026-08-21T00:30:39.400634,2.003428678387644,2.0025861505989377,1.9992331044148983
2026-08-21T00:30:39.408967,2.0034638642203024,2.002878875092519,1.9993367513153415
2026-08-21T00:30:39.417300,2.0041187187667866,2.002944662627859,1.9992411501300191
2026-08-21T00:30:39.425633,2.005637782594048,2.002746515641268,1.9988907056833425
2026-08-21T00:30:39.433966,2.0046180150101933,2.0022269798755157,1.9989508314606361
2026-08-21T00:30:39.442299,2.004331719451637,2.002460607439361,1.9990755760974037
2026-08-21T00:30:39.450632,2.0050141539976534,2.0023228354645735,1.9989333457794196
2026-08-21T00:30:39.458965,2.004516123075017,2.0022651300237007,1.999008835159686
2026-08-21T00:30:39.467298,2.0038920572964134,2.001621421453995,1.998962198845929
2026-08-21T00:30:39.475631,2.0047634556846994,2.0016712908757173,1.998857372817508
2026-08-21T00:30:39.483964,2.0045144123371927,2.0016047666885557,1.9988804261878668
