time,ore_sat.ang_vel_est_0,ore_sat.ang_vel_est_1,ore_sat.ang_vel_est_2
2026-08-20T19:15:40.215189,0.7670196325659959,0.7386987742725202,0.7227203518547016
2026-08-20T19:15:40.223522,0.7760806745133795,0.7442062202914457,0.7134358715353559
2026-08-20T19:15:40.231855,0.7711064766674594,0.74522787210535,0.7161201916680748
2026-08-20T19:15:40.240188,0.7766203415339599,0.7480571879882807,0.7089318210783748
2026-08-20T19:15:40.248521,0.7688589716716985,0.7448701078112765,0.7110353052545335
2026-08-20T19:15:40.256854,0.7655449897245123,0.7440169642268772,0.7104257582187437
2026-08-20T19:15:40.265187,0.7706804579448949,0.7481292263504442,0.7052277616079308
2026-08-20T19:15:40.273520,0.7675997726788357,0.7455081354670083,0.7029618463390137
2026-08-20T19:15:40.281853,0.7680388007401961,0.7444491008514427,0.6984761804397221
2026-08-20T19:15:40.290186,0.756393068327827,0.7401805443484495,0.7033076357017598
2026-08-20T19:15:40.298519,0.7517616012274595,0.7375733871140442,0.7026467394273537
2026-08-20T19:15:40.306852,0.7490636373211101,0.7367069640180808,0.7015011134155853
2026-08-20T19:15:40.315185,0.7478753071485813,0.7412803297347055,0.70314235988885
2026-08-20T19:15:40.323518,0.7520405544897124,0.7434061661340388,0.6980774396198353
2026-08-20T19:15:40.331851,0.7426958799067758,0.7430928115242699,0.703169078045885
2026-08-20T19:15:40.340184,0.7413314531178803,0.7400367479028795,0.6992708778262207
2026-08-20T19:15:40.348517,0.7428715020595194,0.7417274271317473,0.6963356127500375
2026-08-20T19:15:40.356850,0.7382737063837199,0.740159958957674,0.6961841128787551
2026-08-20T19:15:40.365183,0.7379686396891341,0.7375478564673297,0.6917674540414949
2026-08-20T19:15:40.373516,0.7403302441071786,0.7385425497685376,0.6877107157996758
2026-08-20T19:15:40.381849,0.7363413356022446,0.7352644336393195,0.6857338435563485
2026-08-20T19:15:40.390182,0.7342763827171019,0.7321456479289479,0.6823656630613977
2026-08-20T19:15:40.398515,0.7362858988235401,0.7317337455865003,0.6777074947207531
2026-08-20T19:15:40.406848,0.7359158847344069,0.7323774509816392,0.6754994400389014
2026-08-20T19:15:40.415181,0.7356094637504951,0.7328486484877175,0.6731441703578631
2026-08-20T19:15:40.423514,0.7279692235343269,0.7295436162572684,0.6735939754446927
2026-08-20T19:15:40.431847,0.7283256358969195,0.730040328843581,0.6708509697542451
2026-08-20T19:15:40.440180,0.7289240558026271,0.7283625809204115,0.66662011204746
2026-08-20T19:15:40.448513,0.7275952448340242,0.7270645452757827,0.6638914095204047
2026-08-20T19:15:40.456846,0.7327846122481247,0.7278604795907708,0.6581841380985574
2026-08-20T19:15:40.465179,0.7316729624860012,0.7270818827685877,0.6555720405020318
2026-08-20T19:15:40.473512,0.7284956464705159,0.7247419509375312,0.6533607734350753
2026-08-20T19:15:40.481845,0.7249673627969511,0.723753466282218,0.6521063077616274
2026-08-20T19:15:40.490178,0.7247134395257366,0.724239559934384,0.649727817320447
2026-08-20T19:15:40.498511,0.7259615692397046,0.7242661700627084,0.6462433489436668
2026-08-20T19:15:40.506844,0.7255318041648153,0.7234997479838832,0.6432898756847338
2026-08-20T19:15:40.515177,0.7284794275434718,0.7248084587920292,0.6395682091700843
2026-08-20T19:15:40.523510,0.7266824375704748,0.7247471302991713,0.63769499839105
2026-08-20T19:15:40.531843,0.7301003113181759,0.7260184232495317,0.6337876485090432
2026-08-20T19:15:40.540176,0.7282306423200384,0.7248511291388562,0.6313815221100005
2026-08-20T19:15:40.548509,0.7275866810089844,0.7237466942179327,0.628407730480036
2026-08-20T19:15:40.556842,0.7273151414797678,0.7228112594911766,0.6253399571364089
2026-08-20T19:15:40.565175,0.7214129974716608,0.7206334388962516,0.6243395701249619
2026-08-20T19:15:40.573508,0.7212407201284714,0.7197186066506527,0.621294800813768
2026-08-20T19:15:40.581841,0.7211892745850856,0.7209022508479501,0.6191367949070581
2026-08-20T19:15:40.590174,0.7200720972729071,0.7193827519704721,0.6162618863760139
2026-08-20T19:15:40.598507,0.7205093251596604,0.7178689252149026,0.6127364733952299
2026-08-20T19:15:40.606840,0.7186624317319414,0.7166899806924465,0.6102855713129809
2026-08-20T19:15:40.615173,0.72023977912679,0.7158272608099883,0.6066074716100636
2026-08-20T19:15:40.623506,0.7201128771183991,0.7140916911282762,0.6032401993267671
2026-08-20T19:15:40.631839,0.7206510710225569,0.7135052070791144,0.600078130451176
2026-08-20T19:15:40.640172,0.7209109317732012,0.7123988549658264,0.5968260361722817
2026-08-20T19:15:40.648505,0.7192809046672779,0.7117884123912903,0.5944325648411097
2026-08-20T19:15:40.656838,0.7184424644355081,0.711271428450583,0.5918128315365094
2026-08-20T19:15:40.665171,0.7171781819901657,0.7101884398180691,0.5891381331648025
2026-08-20T19:15:40.673504,0.7152243376437184,0.7093530274741773,0.5867767874566394
2026-08-20T19:15:40.681837,0.7124685892420715,0.7091145236856704,0.5848762690401295
2026-08-20T19:15:40.690170,0.7083567121716197,0.7077735716899176,0.5830101717007086
2026-08-20T19:15:40.698503,0.7068706924203121,0.7060557173822444,0.5802626476209318
2026-08-20T19:15:40.706836,0.7052089766115359,0.7043653686355547,0.5775693447784165
2026-08-20T19:15:40.715169,0.7048514555951968,0.7035034205213018,0.5747931395962151
2026-08-20T19:15:40.723502,0.7037698438211315,0.7026232627338511,0.5721959392089351
2026-08-20T19:15:40.731835,0.7036104029770809,0.7017163187910409,0.569361501156461
2026-08-20T19:15:40.740168,0.7040466610444911,0.7009575621660495,0.5664286473288911
2026-08-20T19:15:40.748501,0.7029152782483781,0.6995249522983054,0.5636531004983996
2026-08-20T19:15:40.756834,0.701164226738427,0.6983192793887967,0.5610768017536005
2026-08-20T19:15:40.765167,0.6985489659481274,0.697377541000904,0.55875534626986
2026-08-20T19:15:40.773500,0.6984725365684077,0.696757191392301,0.5560233205628771
2026-08-20T19:15:40.781833,0.6976626351635096,0.695383678454248,0.5532266759961304
2026-08-20T19:15:40.790166,0.6958840036541796,0.6943815650547118,0.5506970063839458
2026-08-20T19:15:40.798499,0.6952858376133282,0.6932993851213114,0.547949617073801
2026-08-20T19:15:40.806832,0.6948137064280293,0.6928032083169215,0.5453243534579373
2026-08-20T19:15:40.815165,0.6928461110765052,0.6916134535208771,0.542757279556092
