time,rw_1.rw_force_0,rw_1.rw_force_1,rw_1.rw_force_2,rw_1.rw_force_3,rw_1.rw_force_4,rw_1.rw_force_5
2026-08-21T00:30:39.167310,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.175643,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.183976,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.192309,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.200642,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.208975,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.217308,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.225641,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.233974,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.242307,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.250640,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.258973,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.267306,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.275639,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.283972,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.292305,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.300638,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.308971,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.317304,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.325637,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.333970,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.342303,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.350636,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.358969,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.367302,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.375635,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.383968,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.392301,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.400634,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.408967,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.417300,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.425633,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.433966,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.442299,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.450632,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.458965,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.467298,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.475631,-0.002,0.0,0.0,0.0,0.0,0.0
2026-08-21T00:30:39.483964,-0.002,0.0,0.0,0.0,0.0,0.0
