time,ore_sat.att_est_0,ore_sat.att_est_1,ore_sat.att_est_2,ore_sat.att_est_3
2026-08-20T19:15:40.215189,0.0898521798647262,0.08799710646830446,0.08426050417501102,0.9884752209655717
2026-08-20T19:15:40.223522,0.09274592793939943,0.09122090253222405,0.08763430508598581,0.9876219764484602
2026-08-20T19:15:40.231855,0.09644238688590367,0.09464362706157092,0.09019493110538797,0.9867149153992122
2026-08-20T19:15:40.240188,0.09908052841911381,0.09752302393887625,0.09352471585073278,0.9858627877220267
2026-08-20T19:15:40.248521,0.1020444689331459,0.10060182113838555,0.09663014805231489,0.9849511736280028
2026-08-20T19:15:40.256854,0.10572619516049785,0.10416109857276419,0.09930782086269346,0.9839260103872153
2026-08-20T19:15:40.265187,0.10870039969943536,0.10708940691876596,0.10223223791861932,0.9829876151616158
2026-08-20T19:15:40.273520,0.11198181610644997,0.11016841796878492,0.1049226302505883,0.981995027586726
2026-08-20T19:15:40.281853,0.11410006170365879,0.11285176719602157,0.1085574979479753,0.9810509284431831
2026-08-20T19:15:40.290186,0.11683572474364189,0.11571428464876912,0.11164355453631006,0.9800486388350066
2026-08-20T19:15:40.298519,0.11973331344561325,0.11874863252349009,0.11468007131933826,0.9789847686084432
2026-08-20T19:15:40.306852,0.12275377234724077,0.12235348297805308,0.11804625996938084,0.9777659316446357
2026-08-20T19:15:40.315185,0.12635212798667791,0.12577193683600116,0.12063059606329515,0.9765576372908941
2026-08-20T19:15:40.323518,0.12847877035918076,0.12882390729758147,0.12441998716558121,0.9754062093657666
2026-08-20T19:15:40.331851,0.131465043562426,0.13163480054129534,0.1271166299960498,0.9742846524430271
2026-08-20T19:15:40.340184,0.13475987592062885,0.13499528912439035,0.12992609884098552,0.9730032151005675
2026-08-20T19:15:40.348517,0.13733994725688328,0.13792725217537918,0.13308196974218506,0.9718039932642623
2026-08-20T19:15:40.356850,0.14042278124281962,0.14076647300937736,0.13565573448373677,0.9705996931208095
2026-08-20T19:15:40.365183,0.14381743121958707,0.1440573416482163,0.13826275412233133,0.9692509683343918
2026-08-20T19:15:40.373516,0.14643174830874364,0.14675498048944816,0.14113170832677643,0.9680405775036252
2026-08-20T19:15:40.381849,0.1492718578657502,0.1494717653056844,0.14378550632041054,0.9667997889935087
2026-08-20T19:15:40.390182,0.15262829906086306,0.15256677289110637,0.14623204708157853,0.9654243473943012
2026-08-20T19:15:40.398515,0.15565758183824,0.15577106811563474,0.14903560901018642,0.9639992109962273
2026-08-20T19:15:40.406848,0.1586914059928147,0.15895719551225695,0.1518040541332896,0.9625513891775334
2026-08-20T19:15:40.415181,0.16069483303568546,0.16153212784667523,0.15500778943743346,0.9612789020480368
2026-08-20T19:15:40.423514,0.1637878460020203,0.16472002476819042,0.15769868047649394,0.9597770476096821
2026-08-20T19:15:40.431847,0.16693948956881072,0.167606154342364,0.16010698127368808,0.9583345649596989
2026-08-20T19:15:40.440180,0.16979243332797778,0.1705096008214471,0.16275628819444593,0.9568737619275813
2026-08-20T19:15:40.448513,0.17363158344930663,0.1738089557257297,0.16485714329078238,0.9552301515574246
2026-08-20T19:15:40.456846,0.17651379094573025,0.17678598952492908,0.167487855938412,0.9536967094557959
2026-08-20T19:15:40.465179,0.17906949087492455,0.17948748968118644,0.17017293551552956,0.9522392191585941
2026-08-20T19:15:40.473512,0.18152423991394198,0.18237534308011283,0.17304207449004946,0.9507074339754882
2026-08-20T19:15:40.481845,0.18448441458291412,0.18553996859777147,0.17569039067193362,0.9490380958919831
