time,rw_3.rw_axis_0,rw_3.rw_axis_1,rw_3.rw_axis_2
2026-05-06T20:26:40.524879,0.0,0.0,1.0
2026-05-06T20:26:40.533212,0.0,0.0,1.0
2026-05-06T20:26:40.541545,0.0,0.0,1.0
2026-05-06T20:26:40.549878,0.0,0.0,1.0
2026-05-06T20:26:40.558211,0.0,0.0,1.0
2026-05-06T20:26:40.566544,0.0,0.0,1.0
2026-05-06T20:26:40.574877,0.0,0.0,1.0
2026-05-06T20:26:40.583210,0.0,0.0,1.0
2026-05-06T20:26:40.591543,0.0,0.0,1.0
2026-05-06T20:26:40.599876,0.0,0.0,1.0
2026-05-06T20:26:40.608209,0.0,0.0,1.0
2026-05-06T20:26:40.616542,0.0,0.0,1.0
2026-05-06T20:26:40.624875,0.0,0.0,1.0
2026-05-06T20:26:40.633208,0.0,0.0,1.0
2026-05-06T20:26:40.641541,0.0,0.0,1.0
2026-05-06T20:26:40.649874,0.0,0.0,1.0
2026-05-06T20:26:40.658207,0.0,0.0,1.0
2026-05-06T20:26:40.666540,0.0,0.0,1.0
2026-05-06T20:26:40.674873,0.0,0.0,1.0
2026-05-06T20:26:40.683206,0.0,0.0,1.0
