time,ore_sat.gyro_omega_0,ore_sat.gyro_omega_1,ore_sat.gyro_omega_2
2026-08-20T19:15:40.215189,2.7765359325139185,2.7753567292951793,2.7339918559380973
2026-08-20T19:15:40.223522,2.7754397355504166,2.774216843920971,2.7313199560081176
2026-08-20T19:15:40.231855,2.774343538586915,2.7730769585467625,2.7286480560781383
2026-08-20T19:15:40.240188,2.7732473416234136,2.7719370731725546,2.725976156148159
2026-08-20T19:15:40.248521,2.7721511446599116,2.7707971877983466,2.7233042562181797
2026-08-20T19:15:40.256854,2.77105494769641,2.769657302424138,2.7206323562882004
2026-08-20T19:15:40.265187,2.769958750732908,2.76851741704993,2.717960456358221
2026-08-20T19:15:40.273520,2.7688625537694067,2.767377531675722,2.7152885564282414
2026-08-20T19:15:40.281853,2.7677663568059048,2.7662376463015135,2.7126166564982626
2026-08-20T19:15:40.290186,2.7666701598424033,2.7650977609273055,2.709944756568283
2026-08-20T19:15:40.298519,2.765573962878902,2.763957875553097,2.707272856638304
2026-08-20T19:15:40.306852,2.7644777659154,2.762817990178889,2.7046009567083242
2026-08-20T19:15:40.315185,2.763381568951898,2.761678104804681,2.7019290567783454
2026-08-20T19:15:40.323518,2.7622850562970243,2.7605378841795027,2.6992570096374298
2026-08-20T19:15:40.331851,2.7611888593335228,2.7593979988052943,2.696585109707451
2026-08-20T19:15:40.340184,2.7600926623700213,2.7582581134310864,2.693913209777471
2026-08-20T19:15:40.348517,2.7589964654065193,2.757118228056878,2.6912413098474923
2026-08-20T19:15:40.356850,2.7579002684430174,2.7559783426826696,2.6885694099175126
2026-08-20T19:15:40.365183,2.756804071479516,2.7548384573084617,2.6858975099875333
2026-08-20T19:15:40.373516,2.755707874516014,2.7536985719342533,2.683225610057554
2026-08-20T19:15:40.381849,2.7546116775525125,2.7525586865600453,2.6805537101275743
2026-08-20T19:15:40.390182,2.7535154805890105,2.751418801185837,2.6778818101975954
2026-08-20T19:15:40.398515,2.752419283625509,2.750278915811629,2.6752099102676157
2026-08-20T19:15:40.406848,2.7513230866620075,2.7491390304374206,2.6725380103376364
2026-08-20T19:15:40.415181,2.7502268896985056,2.747999145063212,2.669866110407657
2026-08-20T19:15:40.423514,2.7491306927350037,2.7468592596890042,2.667194210477678
2026-08-20T19:15:40.431847,2.748034495771502,2.7457193743147963,2.6645223105476985
2026-08-20T19:15:40.440180,2.7469382988080002,2.744579488940588,2.661850410617719
2026-08-20T19:15:40.448513,2.7458421018444983,2.7434396035663795,2.65917851068774
2026-08-20T19:15:40.456846,2.744745904880997,2.7422997181921716,2.65650661075776
2026-08-20T19:15:40.465179,2.7436497079174953,2.741159832817963,2.653834710827781
2026-08-20T19:15:40.473512,2.7425535109539934,2.7400199474437548,2.6511628108978016
2026-08-20T19:15:40.481845,2.741457313990492,2.738880062069547,2.6484909109678227
2026-08-20T19:15:40.490178,2.74036111702699,2.7377401766953384,2.645819011037843
2026-08-20T19:15:40.498511,2.7392649200634884,2.7366002913211305,2.6431471111078637
2026-08-20T19:15:40.506844,2.7381686633645494,2.7354596294768747,2.640475059395829
2026-08-20T19:15:40.515177,2.7370724664010475,2.7343197441026663,2.6378031594658498
2026-08-20T19:15:40.523510,2.7359762694375456,2.733179858728458,2.6351312595358705
2026-08-20T19:15:40.531843,2.734880072474044,2.73203997335425,2.6324593596058907
2026-08-20T19:15:40.540176,2.733783875510542,2.7309000879800416,2.629787459675912
2026-08-20T19:15:40.548509,2.7326876785470406,2.7297602026058336,2.627115559745932
2026-08-20T19:15:40.556842,2.731591481583539,2.7286203172316252,2.624443659815953
2026-08-20T19:15:40.565175,2.730495284620037,2.7274804318574173,2.6217717598859736
2026-08-20T19:15:40.573508,2.7293990876565353,2.7263405464832084,2.6190998599559943
2026-08-20T19:15:40.581841,2.7283028906930338,2.7252006611090005,2.616427960026015
2026-08-20T19:15:40.590174,2.7272066937295323,2.7240607757347925,2.6137560600960352
2026-08-20T19:15:40.598507,2.7261104967660303,2.7229208903605846,2.6110841601660564
2026-08-20T19:15:40.606840,2.725014299802529,2.721781004986376,2.6084122602360766
2026-08-20T19:15:40.615173,2.7239181028390274,2.720641119612168,2.605740360306098
2026-08-20T19:15:40.623506,2.7228219058755254,2.71950123423796,2.603068460376118
2026-08-20T19:15:40.631839,2.7217257089120235,2.718361348863752,2.6003965604461388
2026-08-20T19:15:40.640172,2.720629511948522,2.7172214634895435,2.5977246605161595
2026-08-20T19:15:40.648505,2.71953331498502,2.716081578115335,2.59505276058618
2026-08-20T19:15:40.656838,2.7184371180215186,2.714941692741127,2.592380860656201
2026-08-20T19:15:40.665171,2.7173409210580166,2.713801807366919,2.589708960726221
2026-08-20T19:15:40.673504,2.7162447240945147,2.7126619219927104,2.5870370607962423
2026-08-20T19:15:40.681837,2.7151487181721747,2.711522910385764,2.5843650512567167
2026-08-20T19:15:40.690170,2.7140525212086732,2.710383025011556,2.5816931513267374
2026-08-20T19:15:40.698503,2.7129563242451717,2.7092431396373478,2.5790212513967576
2026-08-20T19:15:40.706836,2.71186012728167,2.70810325426314,2.5763493514667783
2026-08-20T19:15:40.715169,2.710763930318168,2.706963368888932,2.573677451536799
2026-08-20T19:15:40.723502,2.7096677333546664,2.7058234835147235,2.5710055516068198
2026-08-20T19:15:40.731835,2.708571536391165,2.704683598140515,2.5683336516768405
2026-08-20T19:15:40.740168,2.707475339427663,2.703543712766307,2.565661751746861
2026-08-20T19:15:40.748501,2.7063791424641614,2.7024038273920987,2.562989851816882
2026-08-20T19:15:40.756834,2.7052829455006595,2.7012639420178903,2.5603179518869026
2026-08-20T19:15:40.765167,2.7041867485371576,2.7001240566436824,2.5576460519569233
2026-08-20T19:15:40.773500,2.703090551573656,2.6989841712694744,2.5549741520269436
2026-08-20T19:15:40.781833,2.701994354610154,2.697844285895266,2.5523022520969647
2026-08-20T19:15:40.790166,2.7008981576466526,2.6967044005210576,2.549630352166985
2026-08-20T19:15:40.798499,2.699801960683151,2.6955645151468497,2.5469584522370057
2026-08-20T19:15:40.806832,2.6987057637196497,2.6944246297726413,2.5442865523070264
2026-08-20T19:15:40.815165,2.6976095667561477,2.693284744398433,2.541614652377047
