time,ore_sat.world_vel_ωx,ore_sat.world_vel_ωy,ore_sat.world_vel_ωz,ore_sat.world_vel_x,ore_sat.world_vel_y,ore_sat.world_vel_z
2026-08-20T19:15:40.165191,0.7795330736499403,0.7833797120219302,0.7475133859451573,4930.207284075361,-5873.542520069866,-0.8911801950389493
2026-08-20T19:15:40.173524,0.7781956971970452,0.7824545118432847,0.7448684918947983,4930.253151160322,-5873.504013109936,-0.93168838484063
2026-08-20T19:15:40.181857,0.7768467995258495,0.7815381175014559,0.7422263843708973,4930.29901780712,-5873.465505628089,-0.9721965745368232
2026-08-20T19:15:40.190190,0.7754863449401469,0.7806304390159489,0.7395871953340648,4930.3448840157525,-5873.426997624329,-1.012704764123929
2026-08-20T19:15:40.198523,0.7741142993299743,0.7797313856251166,0.7369510562009789,4930.390749786214,-5873.388489098659,-1.0532129535983474
2026-08-20T19:15:40.206856,0.772730630166814,0.7788408658039813,0.7343180978306221,4930.4366151185,-5873.349980051084,-1.0937211429564784
2026-08-20T19:15:40.215189,0.7713353064985838,0.7779587872820145,0.7316884505107502,4930.482480012608,-5873.311470481604,-1.1342293321947219
2026-08-20T19:15:40.223522,0.7699282989444183,0.7770850570608728,0.729062243944592,4930.528344468533,-5873.272960390226,-1.174737521309478
2026-08-20T19:15:40.231855,0.7685095796892435,0.7762195814320851,0.7264396072377798,4930.574208486271,-5873.234449776952,-1.2152457102971468
2026-08-20T19:15:40.240188,0.767079122478151,0.7753622659946896,0.723820668885511,4930.620072065819,-5873.195938641785,-1.2557538991541282
2026-08-20T19:15:40.248521,0.7656369026105729,0.7745130156728172,0.7212055567599396,4930.665935207171,-5873.157426984729,-1.296262087876822
2026-08-20T19:15:40.256854,0.7641828969342627,0.7736717347332185,0.7185943980977987,4930.711797910324,-5873.1189148057865,-1.3367702764616287
2026-08-20T19:15:40.265187,0.7627170838390845,0.7728383268027321,0.7159873194882522,4930.757660175274,-5873.080402104962,-1.377278464904948
2026-08-20T19:15:40.273520,0.7612394432506161,0.7720126948856901,0.7133844468609768,4930.803522002017,-5873.041888882258,-1.4177866532031802
2026-08-20T19:15:40.281853,0.7597499566235664,0.77119474138126,0.7107859054744721,4930.8493833905495,-5873.003375137679,-1.4582948413527252
2026-08-20T19:15:40.290186,0.7582486069350143,0.770384368100719,0.7081918199046002,4930.895244340866,-5872.964860871228,-1.498803029349983
2026-08-20T19:15:40.298519,0.7567353786774702,0.7695814762846589,0.7056023140333534,4930.941104852963,-5872.926346082908,-1.5393112171913534
2026-08-20T19:15:40.306852,0.7552102578517645,0.7687859666201189,0.7030175110378487,4930.986964926837,-5872.887830772723,-1.5798194048732368
2026-08-20T19:15:40.315185,0.7536732319597665,0.7679977392576435,0.70043753337955,4931.032824562482,-5872.849314940676,-1.620327592392033
2026-08-20T19:15:40.323518,0.7521242899969376,0.7672166938282633,0.6978625027937161,4931.078683759897,-5872.81079858677,-1.660835779744142
2026-08-20T19:15:40.331851,0.7505634224447217,0.7664427294603972,0.6952925402790748,4931.1245425190755,-5872.77228171101,-1.7013439669259638
2026-08-20T19:15:40.340184,0.7489906212627774,0.765675744796672,0.6927277660877214,4931.170400840015,-5872.733764313398,-1.7418521539338985
2026-08-20T19:15:40.348517,0.7474058798810539,0.764915638010659,0.690168299715241,4931.21625872271,-5872.695246393938,-1.782360340764346
2026-08-20T19:15:40.356850,0.7458091931917155,0.7641623068235238,0.6876142598910552,4931.262116167158,-5872.6567279526325,-1.8228685274137066
2026-08-20T19:15:40.365183,0.7442005575409177,0.7634156485205885,0.6850657645689899,4931.307973173353,-5872.618208989486,-1.86337671387838
2026-08-20T19:15:40.373516,0.7425799707204385,0.7626755599678033,0.6825229309180657,4931.353829741292,-5872.579689504502,-1.9038849001547664
2026-08-20T19:15:40.381849,0.740947431959167,0.7619419376281257,0.6799858753135075,4931.399685870972,-5872.541169497684,-1.9443930862392658
2026-08-20T19:15:40.390182,0.739302941914456,0.7612146775778057,0.6774547133279754,4931.445541562387,-5872.5026489690335,-1.9849012721282784
2026-08-20T19:15:40.398515,0.737646502663338,0.760493675522575,0.6749295597230126,4931.491396815534,-5872.464127918555,-2.025409457818204
2026-08-20T19:15:40.406848,0.7359781176936107,0.759778826813737,0.6724105284407121,4931.53725163041,-5872.4256063462535,-2.0659176433054425
2026-08-20T19:15:40.415181,0.7342977918947946,0.7590700264641584,0.6698977325955989,4931.583106007009,-5872.38708425213,-2.106425828586394
2026-08-20T19:15:40.423514,0.7326055315489663,0.758367169164158,0.6673912844667279,4931.628959945327,-5872.3485616361895,-2.1469340136574586
2026-08-20T19:15:40.431847,0.7309013443214698,0.7576701492972922,0.6648912954899963,4931.67481344536,-5872.3100384984355,-2.1874421985150363
2026-08-20T19:15:40.440180,0.7291852392515102,0.7569788609560355,0.6623978762506685,4931.720666507105,-5872.271514838871,-2.227950383155527
2026-08-20T19:15:40.448513,0.7274572267426336,0.7562931979573551,0.6599111364761134,4931.766519130558,-5872.232990657499,-2.2684585675753315
2026-08-20T19:15:40.456846,0.7257173185530938,0.755613053858175,0.6574311850287519,4931.812371315714,-5872.194465954322,-2.308966751770849
2026-08-20T19:15:40.465179,0.7239655277861131,0.7549383219707326,0.6549581298992132,4931.858223062569,-5872.155940729346,-2.3494749357384794
2026-08-20T19:15:40.473512,0.7222018688800365,0.7542688953778225,0.6524920781997007,4931.904074371119,-5872.117414982573,-2.389983119474623
2026-08-20T19:15:40.481845,0.7204263575983846,0.7536046669479276,0.6500331361575626,4931.949925241362,-5872.078888714006,-2.43049130297568
2026-08-20T19:15:40.490178,0.7186390110198089,0.7529455293502364,0.6475814091090698,4931.99577567329,-5872.040361923649,-2.47099948623805
2026-08-20T19:15:40.498511,0.7168398475279504,0.7522913750695446,0.645137001493396,4932.041625666902,-5872.001834611505,-2.5115076692581337
2026-08-20T19:15:40.506844,0.7150288868012069,0.7516420964210394,0.6427000168468018,4932.0874752221935,-5871.963306777578,-2.552015852032331
2026-08-20T19:15:40.515177,0.7132061498024108,0.7509975855649663,0.6402705577970189,4932.133324339159,-5871.9247784218705,-2.5925240345570413
2026-08-20T19:15:40.523510,0.711371658768421,0.7503577345211762,0.6378487260578348,4932.179173017796,-5871.886249544387,-2.633032216828665
2026-08-20T19:15:40.531843,0.7095254371996313,0.7497224351835515,0.6354346224238752,4932.225021258099,-5871.847720145131,-2.6735403988436017
2026-08-20T19:15:40.540176,0.7076675098494,0.7490915793343118,0.6330283467655828,4932.270869060066,-5871.809190224104,-2.714048580598252
2026-08-20T19:15:40.548509,0.7057979027134007,0.7484650586581953,0.6306299980243929,4932.316716423691,-5871.770659781311,-2.754556762089016
2026-08-20T19:15:40.556842,0.7039166430189013,0.747842764756518,0.6282396742081005,4932.362563348971,-5871.732128816756,-2.795064943312293
2026-08-20T19:15:40.565175,0.70202375921397,0.7472245891611063,0.6258574723864208,4932.408409835901,-5871.693597330442,-2.8355731242644837
2026-08-20T19:15:40.573508,0.7001192809566141,0.7466104233481059,0.6234834886867404,4932.454255884478,-5871.655065322371,-2.8760813049419878
