time,earth.inertia_0,earth.inertia_1,earth.inertia_2,earth.inertia_3,earth.inertia_4,earth.inertia_5,earth.inertia_6
2026-08-20T19:15:40.306852,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.315185,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.323518,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.331851,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.340184,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.348517,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.356850,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.365183,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.373516,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.381849,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.390182,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.398515,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.406848,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.415181,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.423514,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.431847,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.440180,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.448513,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.456846,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.465179,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.473512,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.481845,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.490178,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.498511,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.506844,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.515177,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.523510,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.531843,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.540176,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.548509,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.556842,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.565175,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.573508,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.581841,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.590174,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.598507,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.606840,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.615173,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.623506,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.631839,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.640172,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.648505,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.656838,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.665171,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.673504,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.681837,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.690170,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.698503,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.706836,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.715169,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.723502,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.731835,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.740168,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.748501,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.756834,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.765167,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.773500,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.781833,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.790166,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.798499,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.806832,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-20T19:15:40.815165,1.0,1.0,1.0,0.0,0.0,0.0,1.0
