time,rw_3.rw_force.0,rw_3.rw_force.1,rw_3.rw_force.2,rw_3.rw_force.3,rw_3.rw_force.4,rw_3.rw_force.5
2026-04-15T20:03:16.935237,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:16.943570,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:16.951903,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:16.960236,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:16.968569,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:16.976902,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:16.985235,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:16.993568,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.001901,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.010234,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.018567,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.026900,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.035233,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.043566,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.051899,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.060232,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.068565,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.076898,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.085231,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.093564,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.101897,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.110230,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.118563,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.126896,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.135229,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.143562,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.151895,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.160228,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.168561,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.176894,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.185227,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.193560,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.201893,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.210226,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.218559,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.226892,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.235225,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.243558,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.251891,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.260224,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.268557,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.276890,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.285223,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.293556,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.301889,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.310222,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.318555,0.0,0.0,-0.002,0.0,0.0,0.0
2026-04-15T20:03:17.326888,0.0,0.0,-0.002,0.0,0.0,0.0
