date,name,naif_id,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
2023-06-30,4 MARS,4,-1.6319610349236904,0.30807764928655124,0.04648810775966129,-0.0020731897238186418,-0.01255633618639495,-0.00021230089422480565
2023-07-01,4 MARS,4,-1.6339815487647535,0.2955114845938407,0.04627430875183275,-0.001967799569658262,-0.012575815839137711,-0.00021529434718719868
2023-07-02,4 MARS,4,-1.6358965791610423,0.2829262400097441,0.046057522379981564,-0.001862223784078887,-0.012594494187925786,-0.00021827556155377612
2023-07-03,4 MARS,4,-1.637705942859142,0.2703227177358424,0.045837760960194374,-0.0017564671505255244,-0.012612369439536617,-0.00022124438170946763
2023-07-04,4 MARS,4,-1.6394094613973158,0.25770172176349954,0.045615036964305855,-0.0016505344689207826,-0.012629439808038878,-0.00022420065178741042
2023-07-05,4 MARS,4,-1.6410069611220284,0.24506405786645474,0.04538936302013377,-0.0015444305557557908,-0.012645703514984485,-0.00022714421569970666
2023-07-06,4 MARS,4,-1.6424982732045654,0.23241053359328318,0.04516075191168818,-0.0014381602441904324,-0.01266115878952086,-0.00023007491716045114
2023-07-07,4 MARS,4,-1.6438832336577685,0.2197419582597763,0.04492921657936211,-0.0013317283841863105,-0.012675803868427406,-0.00023299259969918138
2023-07-08,4 MARS,4,-1.6451616833529232,0.2070591429413139,0.04469477012011294,-0.0012251398426836374,-0.012689636996100033,-0.00023589710666567076
2023-07-09,4 MARS,4,-1.6463334680368542,0.19436290046526944,0.0444574257876436,-0.0011183995038395007,-0.012702656424504098,-0.00023878828122607127
2023-07-10,4 MARS,4,-1.647398438349287,0.18165404540346908,0.04421719699259066,-0.0010115122693233952,-0.012714860413118145,-0.00024166596635262928
2023-07-11,4 MARS,4,-1.6483564498405328,0.16893339406470423,0.04397409730272578,-0.0009044830586634914,-0.012726247228884964,-0.00024453000480886746
2023-07-12,4 MARS,4,-1.6492073629895403,0.15620176448728396,0.043728140443172976,-0.0007973168096354466,-0.012736815146181423,-0.00024738023913193057
2023-07-13,4 MARS,4,-1.6499510432223545,0.14345997643160605,0.04347934029664445,-0.0006900184786846759,-0.012746562446814243,-0.0002502165116134939
