ESC signal (µs),Thrust (N),Torque (N·m)
1781.4575187499995,7.646483508185744,0.07813755758793815
1782.365825,7.542592350075586,0.07523234311634283
1793.5481062500003,7.904392084107692,0.08054531858616294
1794.228025,7.781920095835309,0.08006746917979532
1805.4782875,8.13878249629562,0.08255927338909465
1805.9900499999997,8.000682634259707,0.0827899145048531
1817.12949375,8.365923103780705,0.08617505640614255
1817.89440625,8.244740560488703,0.08379121427308074
1828.9455312500002,8.625578993966984,0.08864001688274058
1829.8766124999995,8.57408076037514,0.08631271057275473
1840.7156437500003,8.860318713919897,0.09166630675125961
1841.55975,8.891745612004922,0.08965190165327551
1852.5577500000004,9.142549307312994,0.0942701171238104
1853.3550687500003,9.185196259937374,0.09330411676226916
