time,ball.inertia_0,ball.inertia_1,ball.inertia_2,ball.inertia_3,ball.inertia_4,ball.inertia_5,ball.inertia_6
2026-08-21T00:30:34.676773,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.685106,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.693439,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.701772,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.710105,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.718438,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.726771,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.735104,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.743437,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.751770,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.760103,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.768436,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.776769,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.785102,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.793435,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.801768,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.810101,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.818434,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.826767,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.835100,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.843433,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.851766,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.860099,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.868432,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.876765,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.885098,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.893431,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2026-08-21T00:30:34.901764,1.0,1.0,1.0,0.0,0.0,0.0,1.0
