time,ball.world_accel.αx,ball.world_accel.αy,ball.world_accel.αz,ball.world_accel.x,ball.world_accel.y,ball.world_accel.z
2026-03-20T06:13:16.487404,0.0,0.0,0.0,-0.07223744426250261,-0.27540266623004717,-7.885888001392341
2026-03-20T06:13:16.495737,0.0,0.0,0.0,-0.07292676247840965,-0.27803066721319214,-7.835543265948724
2026-03-20T06:13:16.504070,0.0,0.0,0.0,-0.07360221818227074,-0.2806058178661922,-7.784869702379881
2026-03-20T06:13:16.512403,0.0,0.0,0.0,-0.07426377428222661,-0.2831279767776637,-7.733882043894285
2026-03-20T06:13:16.520736,0.0,0.0,0.0,-0.07491140049005304,-0.28559702847483787,-7.6825949501437005
2026-03-20T06:13:16.529069,0.0,0.0,0.0,-0.07554507316711934,-0.2880128828362826,-7.631022999936946
2026-03-20T06:13:16.537402,0.0,0.0,0.0,-0.07616477517316081,-0.29037547451535345,-7.579180684157101
2026-03-20T06:13:16.545735,0.0,0.0,0.0,-0.07677049571747337,-0.2926847623728779,-7.527082398884856
2026-03-20T06:13:16.554068,0.0,0.0,0.0,-0.07736223021219618,-0.2949407289178009,-7.474742438730431
2026-03-20T06:13:16.562401,0.0,0.0,0.0,-0.07793998012739912,-0.2971433797547114,-7.422174990376158
2026-03-20T06:13:16.570734,0.0,0.0,0.0,-0.0785037528477348,-0.29929274303733244,-7.369394126331624
2026-03-20T06:13:16.579067,0.0,0.0,0.0,-0.07905356153045551,-0.30138886892721684,-7.316413798902871
